X,Specimen.Number,Alternative.tube.info,DNA.Concentration..ng.uL.,Species,LocalityInformation,Latitude,Longitude,Sex,Date,county,state,country,notes
239,LACM119,NA,24,G,ANMO3,NA,NA,NA,NA,NA,NA,NA,species?
240,LACM120,NA,50.7,G,ANMO3,NA,NA,NA,NA,NA,NA,NA,species?
241,MC314,NA,NA,motaguae,ANMO3,16.551833333333335,-97.11994444,NA,NA,Villa Sola de Vega,Oaxaca,México,
242,UGOV1302,JCAM50.9,NA,burti,ANMO3,NA,NA,NA,NA,NA,NA,NA,
243,UOGV1104,JCAM28.5,NA,motaguae,ANMO3,16.520361111111111,-96.98661111,NA,NA,San Ildefonso Sola,Oaxaca,México,
244,UOGV1321,JCAM89.7,NA,burti,ANMO3,27.158999999999999,-108.9622222,M,NA,Álamos,Sonora,México,
245,UOGV1322,NA,93.6,burti,ANMO3,27.158999999999999,-108.9622222,NA,NA,Álamos,Sonora,México,
246,UOGV1647,NA,102,G,ANMO3,16.030916666666666,-92.08958333,NA,NA,NA,Chiapas,México,species?
247,UOGV861,NA,NA,motaguae,ANMO3,16.287861111111113,-97.12927778,M,NA,San Pedro Juchatengo,Oaxaca,México,
248,UOGV894,NA,NA,G,ANMO3,16.030138888888889,-92.093,NA,NA,Comitán de Domínguez,Chiapas,México,species?
249,ANMO1498,NA,NA,gularis,ANMO4,NA,NA,NA,NA,NA,NA,NA,
250,ANMO1502,NA,132,gularis,ANMO4,NA,NA,NA,NA,NA,NA,NA,
251,ANMO1512,NA,NA,gularis,ANMO4,NA,NA,NA,NA,NA,NA,NA,
252,ANMO4419,NA,NA,guttatus,ANMO5,18.5573,-95.72565,NA,6/25/16,Tlacotalpan,Veracruz,México,
253,ANMO4541,NA,NA,guttatus,ANMO5,15.95954,-97.247,NA,6/11/18,Tututepec,Oaxaca,México,
254,ANMO4542,NA,NA,guttatus,ANMO5,15.95954,-97.247,NA,6/11/18,Tututepec,Oaxaca,México,
255,ANMO4575,NA,NA,guttatus,ANMO5,NA,NA,NA,6/12/18,NA,NA,NA,
256,ANMO4577,NA,NA,guttatus,ANMO5,NA,NA,NA,6/12/18,NA,NA,NA,
257,ANMO462,NA,NA,guttatus,ANMO5,NA,NA,NA,NA,NA,NA,NA,
258,ANMO5170,NA,NA,motaguae,Guatemala,14.908739,-89.816189,NA,6/6/23,Cabañas,Zacapa,Guatemala,
259,ANMO5171,NA,NA,motaguae,Guatemala,14.908739,-89.816189,NA,6/6/23,Cabañas,Zacapa,Guatemala,
260,ANMO5176,NA,NA,motaguae,Guatemala,14.908739,-89.816189,NA,6/6/23,Cabañas,Zacapa,Guatemala,
261,ANMO5201,NA,NA,angusticeps,Guatemala,16.7952253,-89.8092195,NA,6/7/23,NA,Petén,Guatemala,
262,ANMO5202,NA,NA,angusticeps,Guatemala,16.7952253,-89.8092195,NA,6/8/23,NA,Petén,Guatemala,
263,ANMO5203,NA,NA,angusticeps,Guatemala,16.7952253,-89.8092195,NA,6/8/23,NA,Petén,Guatemala,
264,ANMO5204,NA,NA,angusticeps,Guatemala,16.7952253,-89.8092195,NA,6/8/23,NA,Petén,Guatemala,
265,ANMO5226,NA,NA,angusticeps,Guatemala,16.7729,-90.1254,NA,6/10/23,NA,Petén,Guatemala,
266,ANMO5227,NA,NA,angusticeps,Guatemala,16.7729,-90.1254,NA,6/10/23,NA,Petén,Guatemala,
267,ANMO5258,NA,NA,motaguae,Guatemala,14.91722,-90.14998,NA,6/13/23,Morazán,El Progreso,Guatemala,
268,ANMO5267,NA,NA,motaguae,Guatemala,14.9091,-89.8189,NA,6/14/23,El Jícaro,El Progreso,Guatemala,
269,ANMO5268,NA,NA,motaguae,Guatemala,14.9091,-89.8189,NA,6/14/23,El Jícaro,El Progreso,Guatemala,
270,E125,NA,NA,marmoratus,JEC,31.63794,-102.8269,NA,NA,Ward County,Texas,United States,
271,E38,NA,NA,marmoratus,JEC,31.63753,-102.8284,NA,6/18/21,Ward County,Texas,United States,
272,JEC9711,NA,NA,gularis,JEC2,26.16179,-98.38538,F,6/12/18,Hildalgo,Texas,United States,
273,JEC9724,NA,NA,laredoensis,JEC2,26.16588,-98.38614,NA,6/5/19,Hildalgo,Texas,United States,
274,JEC9725,NA,NA,gularis,JEC2,26.16493,-98.38722,NA,6/6/19,Hildalgo,Texas,United States,
275,JEC9726,NA,NA,gularis,JEC2,26.17077,-98.38174,F,6/8/19,Hildalgo,Texas,United States,
276,JEC9729,NA,NA,gularis,JEC2,26.16542,-98.3865,F,6/10/19,Hildalgo,Texas,United States,
277,JEC9730,NA,NA,laredoensis,JEC2,26.16676,-98.38525,NA,6/10/19,Hildalgo,Texas,United States,
278,JEC9732,NA,NA,laredoensis,JEC2,26.16422,-98.38792,NA,6/10/19,Hildalgo,Texas,United States,
279,JEC9735,NA,NA,laredoensis,JEC2,26.16482,-98.38737,M,6/14/19,Hildalgo,Texas,United States,
280,JEC9736,NA,NA,laredoensis,JEC2,26.16198,-98.38686,NA,6/11/19,Hildalgo,Texas,United States,
281,JEC9737,NA,NA,gularis,JEC2,25.98863,-97.56422,M,6/14/19,Cameron,Texas,United States,
282,JEC9741,NA,NA,gularis,JEC2,26.1783,-98.38052,F,7/27/19,Hildalgo,Texas,United States,
283,JEC9744,NA,NA,laredoensis,JEC2,28.48979,-100.02081,NA,8/2/19,Hildalgo,Texas,United States,
284,JEC9745,NA,NA,laredoensis,JEC2,28.48977,-100.02082,NA,8/2/19,Hildalgo,Texas,United States,
285,JEC9747,NA,NA,laredoensis,JEC2,28.49017,-100.01144,NA,8/3/19,Hildalgo,Texas,United States,
286,JEC9748,NA,NA,laredoensis,JEC2,28.49051,-100.01036,NA,8/3/19,Hildalgo,Texas,United States,
287,JEC9750,NA,NA,laredoensis,JEC2,28.49301,-100.00591,NA,8/4/19,Hildalgo,Texas,United States,
288,JEC9751,NA,NA,laredoensis,JEC2,28.48982,-100.01813,NA,8/4/19,Hildalgo,Texas,United States,
289,UADZ9714,NA,NA,laredoensis,JEC2,NA,NA,NA,7/12/18,Hildalgo,Texas,United States,
290,LVL2021-01,NA,NA,neotesselatus,LJL,39.78903,-104.97244,NA,7/10/21,NA,Colorado,United States,
291,LVL2021-02,NA,NA,neotesselatus,LJL,39.78856,-104.97488,NA,7/10/21,NA,Colorado,United States,
292,LVL2021-03,NA,NA,neotesselatus,LJL,38.47094,-105.87095,NA,7/13/21,Fremont County,Colorado,United States,
293,LVL2021-04,NA,NA,neotesselatus,LJL,39.79105,-104.96947,NA,7/17/21,NA,Colorado,United States,
294,LVL2021-05,NA,NA,neotesselatus,LJL,39.79033,-104.97038,NA,7/17/21,NA,Colorado,United States,
295,LVL2021-06,NA,NA,neotesselatus,LJL,39.79172,-104.97441,NA,7/18/21,Adams County,Colorado,United States,
296,LVL2021-08,NA,NA,neotesselatus,LJL,38.47303,-105.87393,NA,7/27/21,Fremont County,Colorado,United States,
297,LVL2021-09,NA,NA,neotesselatus,LJL,38.47304,-105.87444,NA,7/27/21,Fremont County,Colorado,United States,
298,LVL2021-10,NA,NA,neotesselatus,LJL,38.44523,-105.84279,NA,7/28/21,Fremont County,Colorado,United States,
299,LVL2021-11,NA,NA,neotesselatus,LJL,39.7915,-104.97426,NA,8/5/21,Adams County,Colorado,United States,
300,LVL2021-12,NA,NA,neotesselatus,LJL,39.79106,-104.97458,NA,8/5/21,Adams County,Colorado,United States,
301,LVL2021-13,NA,NA,neotesselatus,LJL,38.47619,-105.88119,NA,8/9/21,Fremont County,Colorado,United States,
302,LVL2021-14,NA,NA,neotesselatus,LJL,38.47646,-105.88169,NA,8/9/21,Fremont County,Colorado,United States,
303,LVL2021-15,NA,NA,neotesselatus,LJL,38.47625,-105.88117,NA,8/9/21,Fremont County,Colorado,United States,
304,LVL2021-16,NA,NA,neotesselatus,LJL,39.78994,-104.97103,NA,8/28/21,NA,Colorado,United States,
305,LVL2021-17,NA,NA,neotesselatus,LJL,39.79011,-104.97081,NA,8/28/21,NA,Colorado,United States,
306,RCT904,NA,NA,sonorae,RCT,32.30482,-110.81111,NA,6/4/19,Pima County,Arizona,United States,
307,RCT905,NA,NA,sonorae,RCT,32.30851,-110.81078,NA,6/4/19,Pima County,Arizona,United States,
308,RCT909,NA,NA,sonorae,RCT,31.39362,-111.0094,NA,6/5/19,Santa Cruz County,Arizona,United States,
309,RCT914,NA,NA,sonorae,RCT,31.40037,-111.08885,NA,6/5/19,Santa Cruz County,Arizona,United States,
310,RCT918,NA,NA,velox,RCT,31.92972,-109.13041,NA,6/6/19,Cochise County,Arizona,United States,
311,RCT922,NA,NA,exsanguis,RCT,31.88987,-109.16909,NA,6/6/19,Cochise County,Arizona,United States,
312,RCT924,NA,NA,sonorae,RCT,31.88408,-109.178,NA,6/6/19,Cochise County,Arizona,United States,
313,RCT925,NA,NA,marmoratus,RCT,33.11802,-107.03244,NA,6/8/19,Sierra County,New Mexico,United States,
314,RCT926,NA,NA,marmoratus,RCT,33.11848,-107.033,M,6/8/19,Sierra County,New Mexico,United States,
315,RCT928,NA,NA,tesselatus,RCT,33.12078,-107.03346,NA,6/8/19,Sierra County,New Mexico,United States,
316,RCT929,NA,NA,arizonae,RCT,33.1184,-107.03386,NA,6/8/19,Sierra County,New Mexico,United States,
317,RCT931,NA,NA,arizonae,RCT,33.11934,-107.03375,NA,6/8/19,Sierra County,New Mexico,United States,
318,RCT932,NA,NA,arizonae,RCT,33.11926,-107.03379,M,6/8/19,Sierra County,New Mexico,United States,
319,RCT939,NA,NA,arizonae,RCT,33.17851,-107.00915,NA,6/8/19,Sierra County,New Mexico,United States,
320,RCT940,NA,NA,arizonae,RCT,33.1789,-107.00874,NA,6/8/19,Sierra County,New Mexico,United States,
321,RCT948,NA,NA,velox,RCT,34.11929,-106.88612,NA,6/9/19,Socorro County,New Mexico,United States,
322,RCT949,NA,NA,velox,RCT,34.11929,-106.8816,NA,6/9/19,Socorro County,New Mexico,United States,
323,RCT954,NA,NA,marmoratus,RCT,33.88683,-106.68713,NA,6/9/19,Socorro County,New Mexico,United States,
324,RCT957,NA,NA,arizonae,RCT,33.88744,-106.68354,NA,6/9/19,Socorro County,New Mexico,United States,
325,RCT958,NA,NA,arizonae,RCT,33.88693,-106.68682,NA,6/9/19,Socorro County,New Mexico,United States,
326,RCT960,NA,NA,exsanguis,RCT,35.12399,-106.33823,NA,6/10/19,Bernalillo County,New Mexico,United States,
327,RCT961,NA,NA,velox,RCT,35.47186,-108.43772,NA,6/10/19,McKinley County,New Mexico,United States,
328,RCT962,NA,NA,velox,RCT,35.26706,-111.3801,NA,6/11/19,Coconino County,Arizona,United States,
329,RCT964,NA,NA,arizonae,RCT,33.73814,-111.33776,NA,6/12/19,Gila County,Arizona,United States,
330,RCT965,NA,NA,arizonae,RCT,33.73511,-111.33888,NA,6/12/19,Gila County,Arizona,United States,
331,RCT966,NA,NA,sonorae,RCT,33.72657,-111.34412,NA,6/12/19,Gila County,Arizona,United States,
332,RCT967,NA,NA,sonorae,RCT,33.73112,-111.34505,NA,6/12/19,Gila County,Arizona,United States,
333,TWR1212,NA,NA,velox,Reeder,29.92367,-109.2903,NA,NA,Huásabas,Sonora,México,
334,TWR1213,NA,NA,velox,Reeder,29.92367,-109.2903,NA,NA,Huásabas,Sonora,México,
335,TWR1214,NA,NA,velox,Reeder,29.92367,-109.2903,NA,NA,Huásabas,Sonora,México,
336,TWR1215,NA,NA,velox,Reeder,29.92367,-109.2903,NA,NA,Huásabas,Sonora,México,
337,TWR1216,NA,NA,velox,Reeder,29.92367,-109.2903,NA,NA,Huásabas,Sonora,México,
338,TWR1219,NA,NA,velox,Reeder,29.92367,-109.2903,NA,NA,Huásabas,Sonora,México,
339,TWR1220,NA,NA,velox,Reeder,29.92367,-109.2903,NA,NA,Huásabas,Sonora,México,
340,TWR1234,NA,NA,velox,Reeder,29.92367,-109.2903,NA,NA,Huásabas,Sonora,México,
341,TWR1235,NA,NA,velox,Reeder,30.14917,-109.3197,NA,NA,Villa Hidalgo,Sonora,México,
342,TWR1236,NA,NA,velox,Reeder,30.14917,-109.3197,NA,NA,Villa Hidalgo,Sonora,México,
343,BKS1263,NA,NA,arizonae,Sullivan,NA,NA,NA,NA,Cochise County,Arizona,United States,
344,BKS1324,NA,NA,arizonae,Sullivan,35.14794,-111.246028,NA,NA,Coconino County,Arizona,United States,
345,BKS1388,NA,NA,arizonae,Sullivan,35.147526,-111.245961,NA,NA,Coconino County,Arizona,United States,
346,BKS1412,NA,NA,arizonae,Sullivan,35.616514,-111.528067,NA,NA,Coconino County,Arizona,United States,
347,BKS1419,NA,NA,velox,Sullivan,35.119351,-111.182201,NA,NA,Coconino County,Arizona,United States,
348,BKS1700,NA,NA,velox,Sullivan,34.79686,-110.10128,NA,NA,Navajo,Arizona,United States,
349,BKS1701,NA,NA,velox,Sullivan,35.063816,-110.100382,NA,NA,Navajo,Arizona,United States,
350,BKS1851,NA,NA,burti,Sullivan,31.394353,-111.034721,NA,NA,Santa Cruz County,Arizona,United States,
351,BKS1852,NA,NA,burti,Sullivan,31.394353,-111.034721,NA,NA,Santa Cruz County,Arizona,United States,
352,BKS1881,NA,NA,arizonae,Sullivan,33.728545,-111.332931,NA,NA,Gila County,Arizona,United States,
353,BKS2005,NA,NA,tesselatus,Sullivan,NA,NA,NA,NA,NA,NA,NA,
354,BSK1893,NA,NA,arizonae,Sullivan,35.956615,-111.779183,NA,NA,Coconino County,Arizona,United States,
355,AEH004,NA,NA,angusticeps,UAEH,NA,NA,NA,NA,NA,NA,NA,
356,AER008,NA,NA,angusticeps,UAEH,18.36305556,-90.8525,NA,5/26/11,Escárcega,Campeche,México,
357,AER010,NA,NA,angusticeps,UAEH,18.82027778,-91.00916667,NA,5/28/11,Carmen,Campeche,México,
358,AER012,NA,NA,angusticeps,UAEH,18.62444444,-90.13055556,NA,5/28/11,Calakmul,Campeche,México,
359,AER017,NA,NA,angusticeps,UAEH,18.82027778,-91.00916667,NA,5/29/11,Carmen,Campeche,México,
360,AER019,NA,NA,cozumelus,UAEH,18.61944444,-90.76055556,NA,5/30/11,Escárcega,Campeche,México,
361,AER022,NA,NA,angusticeps,UAEH,18.62444444,-90.13055556,NA,6/1/11,Calakmul,Campeche,México,
362,AER030,NA,NA,angusticeps,UAEH,18.53269444,-90.76258333,NA,9/1/11,Escárcega,Campeche,México,
363,AER037,NA,NA,cozumelus,UAEH,18.52794444,-90.76433333,NA,9/2/11,Escárcega,Campeche,México,
364,AER042,NA,NA,angusticeps,UAEH,18.50838889,-89.39969444,NA,9/5/11,Calakmul,Campeche,México,
365,AER043,NA,NA,angusticeps,UAEH,18.50858333,-89.39969444,NA,9/5/11,Calakmul,Campeche,México,
366,CY3,NA,NA,cozumelus,UAEH,NA,NA,NA,NA,NA,NA,NA,
367,CY6,NA,NA,cozumelus,UAEH,NA,NA,NA,NA,NA,NA,NA,
368,CY7,NA,NA,cozumelus,UAEH,NA,NA,NA,NA,NA,NA,NA,
369,CY8,NA,76,cozumelus,UAEH,NA,NA,NA,NA,NA,NA,NA,
370,LDOR057,NA,NA,angusticeps,UAEH,20.88002778,-87.54613889,NA,6/25/10,Lázaro Cárdenas,Quintana Roo,México,
371,NLMM017,NA,70,cozumelus,UAEH,21.18186667,-86.807175,NA,3/9/99,NA,Quintana Roo,México,
372,NLMM020,NA,NA,cozumelus,UAEH,21.18186667,-86.807175,NA,3/9/99,NA,Quintana Roo,México,
373,NLMM021,NA,NA,cozumelus,UAEH,21.18186667,-86.807175,NA,3/9/99,NA,Quintana Roo,México,
374,NLMM025,NA,NA,cozumelus,UAEH,21.18186667,-86.807175,NA,3/9/99,NA,Quintana Roo,México,
375,NLMM025,NA,NA,cozumelus,UAEH,21.18186667,-86.807175,NA,3/9/99,NA,Quintana Roo,México,
376,NLMM026,NA,NA,cozumelus,UAEH,21.18186667,-86.807175,NA,3/9/99,NA,Quintana Roo,México,
377,NLMM027,NA,NA,cozumelus,UAEH,21.18186667,-86.807175,NA,3/9/99,NA,Quintana Roo,México,
378,NLMM035,NA,NA,cozumelus,UAEH,20.42554444,-86.841075,NA,3/10/99,Cozumel,Quintana Roo,México,
379,NLMM046,NA,NA,cozumelus,UAEH,18.71619444,-87.70728333,NA,4/19/99,Othón P. Blanco,Quintana Roo,México,
380,NLMM048,NA,NA,cozumelus,UAEH,18.21479167,-89.45116944,NA,4/20/99,Calakmul,Campeche,México,
381,NLMM051,NA,NA,cozumelus,UAEH,19.56733889,-87.30924167,NA,4/24/99,NA,NA,México,
382,NLMM055,NA,NA,cozumelus,UAEH,19.56733889,-87.30924167,NA,4/24/99,NA,NA,México,
383,NLMM057,NA,NA,cozumelus,UAEH,18.71619444,-87.70728333,NA,4/24/99,Othón P. Blanco,Quintana Roo,México,
384,NLMM057,NA,NA,cozumelus,UAEH,18.71619444,-87.70728333,NA,4/24/99,Othón P. Blanco,Quintana Roo,México,
385,NLMM070,NA,NA,cozumelus,UAEH,19.31555556,-90.75194444,NA,5/26/99,Champotón,Campeche,México,
386,NLMM073,NA,NA,cozumelus,UAEH,19.31555556,-90.75194444,NA,5/26/99,Champotón,Campeche,México,
387,NLMM096,NA,NA,cozumelus,UAEH,21.48026111,-86.78933333,NA,7/6/99,Isla Mujeres,Quintana Roo,México,
388,NLMM100,NA,NA,cozumelus,UAEH,21.48026111,-86.78933333,NA,7/6/99,Isla Mujeres,Quintana Roo,México,
389,NLMM102,NA,NA,cozumelus,UAEH,21.48026111,-86.78933333,NA,7/6/99,Isla Mujeres,Quintana Roo,México,
390,NLMM105,NA,NA,cozumelus,UAEH,20.42554444,-86.841075,NA,7/10/99,Cozumel,Quintana Roo,México,
391,NLMM106,NA,NA,cozumelus,UAEH,20.42554444,-86.841075,NA,7/10/99,Cozumel,Quintana Roo,México,
392,NLMM107,NA,NA,cozumelus,UAEH,20.42554444,-86.841075,NA,7/10/99,Cozumel,Quintana Roo,México,
393,NLMM108,NA,NA,cozumelus,UAEH,20.42554444,-86.841075,NA,7/10/99,Cozumel,Quintana Roo,México,
394,NLMM111,NA,NA,cozumelus,UAEH,20.42554444,-86.841075,NA,7/10/99,Cozumel,Quintana Roo,México,
395,NLMM113,NA,NA,cozumelus,UAEH,20.42554444,-86.841075,NA,7/10/99,Cozumel,Quintana Roo,México,
396,NLMM116,NA,NA,cozumelus,UAEH,20.42554444,-86.841075,NA,7/10/99,Cozumel,Quintana Roo,México,
397,NLMM122,NA,NA,cozumelus,UAEH,20.82885556,-86.89358333,NA,7/8/99,Puerto Morelos,Quintana Roo,México,
398,NLMM122,NA,NA,cozumelus,UAEH,20.82885556,-86.89358333,NA,7/8/99,Puerto Morelos,Quintana Roo,México,
399,NLMM123,NA,NA,cozumelus,UAEH,20.82885556,-86.89358333,NA,7/8/99,Puerto Morelos,Quintana Roo,México,
400,NLMM124,NA,NA,cozumelus,UAEH,20.82885556,-86.89358333,NA,7/8/99,Puerto Morelos,Quintana Roo,México,
401,NLMM191,NA,NA,cozumelus,UAEH,20.49821667,-86.84483056,NA,7/9/00,Cozumel,Quintana Roo,México,
402,NLMM380,NA,NA,angusticeps,UAEH,19.91616667,-90.37638889,NA,3/20/09,Municipio de Campeche,Campeche,México,
403,NLMM384,NA,NA,angusticeps,UAEH,18.52761111,-88.37855556,NA,3/23/09,Othón P. Blanco,Quintana Roo,México,
404,NLMM391,NA,NA,angusticeps,UAEH,18.52069444,-88.36808333,NA,3/23/09,Othón P. Blanco,Quintana Roo,México,
405,NLMM480,NA,NA,angusticeps,UAEH,18.60030556,-90.70169444,NA,7/27/12,Escárcega,Campeche,México,
406,NLMM481,NA,NA,cozumelus,UAEH,18.60030556,-90.70169444,NA,7/27/12,Escárcega,Campeche,México,
407,NLMM482,NA,90,cozumelus,UAEH,18.60030556,-90.70169444,NA,7/27/12,Escárcega,Campeche,México,
408,SFDG114,NA,NA,angusticeps,UAEH,19.77002778,-89.87508333,NA,6/18/10,Hopelchén,Campeche,México,
409,SFDG120,NA,NA,angusticeps,UAEH,21.09372222,-89.30105556,NA,6/21/10,Motul,Yucatán,México,
410,SFDG121,NA,NA,angusticeps,UAEH,21.09066667,-89.30311111,M,6/21/10,Motul,Yucatán,México,
411,SFDG162,NA,NA,angusticeps,UAEH,18.69011111,-88.40280556,NA,9/4/10,Bacalar,Quintana Roo,México,
412,SFDG164,NA,NA,angusticeps,UAEH,18.69402778,-88.40752778,NA,9/5/10,Bacalar,Quintana Roo,México,
413,SFDG167,NA,NA,angusticeps,UAEH,19.58602778,-88.02702778,NA,9/7/10,Felipe Carrillo Puerto,Quintana Roo,México,
414,SFDG179,NA,NA,angusticeps,UAEH,20.28027778,-89.39941667,NA,9/12/10,Oxkutzcab,Yucatán,México,
415,SFDG362,NA,NA,angusticeps,UAEH,NA,NA,NA,NA,NA,NA,NA,
416,UTEP17662,NA,NA,velox,UTEP,35.786872,-107.544145,NA,5/29/98,McKinley County,New Mexico,United States,
417,UTEP18334,NA,NA,arizonae,UTEP,34.12972,-105.144721,NA,6/22/99,Lincoln County,New Mexico,United States,
418,UTEP18336,NA,NA,velox,UTEP,34.095555,-107.327775,NA,6/22/99,Socorro County,New Mexico,United States,
419,UTEP19148,NA,NA,arizonae,UTEP,NA,NA,NA,NA,NA,NA,NA,
420,UTEP19189,NA,NA,exsanguis,UTEP,30.706,-104.10577,NA,7/23/05,Jeff Davis County,Texas,United States,
421,UTEP19841,NA,NA,velox,UTEP,34.99738,-112.33725,NA,9/12/08,Yavapai County,Arizona,United States,
422,UTEP19949,NA,NA,sexlineatus,UTEP,31.09135,-86.18937,F,6/6/09,Geneva County,Alabama,United States,
423,UTEP19952,NA,NA,sexlineatus,UTEP,31.35252,-88.67345,F,6/2/09,Greene County,Mississippi,United States,
424,UTEP20320,NA,NA,exsanguis,UTEP,30.78618,-104.98069,NA,5/20/11,Hudspeth County,Texas,United States,
425,UTEP20329,NA,NA,gularis,UTEP,31.66947,-103.62607,F,7/1/11,Loving County,Texas,United States,
426,UTEP20688,NA,NA,gularis,UTEP,29.84947,-98.2807,M,4/27/13,Comal County,Texas,United States,
427,UTEP20720,NA,NA,velox,UTEP,31.94337,-108.88908,NA,6/19/13,Hidalgo County,New Mexico,United States,
428,UTEP20726,NA,NA,gularis,UTEP,30.53463,-104.06437,F,7/6/13,Jeff Davis County,Texas,United States,
429,UTEP20928,NA,NA,sexlineatus,UTEP,35.554,-91.83447,F,5/23/14,Cleburne County,Arkansas,United States,
430,UTEP20964,NA,NA,gularis,UTEP,30.08693,-100.36877,M,5/19/14,Edwards County,Texas,United States,
431,UTEP21089,NA,NA,arizonae,UTEP,31.42335,-105.34943,F,8/14/14,Hudspeth County,Texas,United States,
432,UTEP21140,NA,NA,gularis,UTEP,NA,NA,NA,NA,NA,NA,NA,
433,UTEP21143,NA,NA,arizonae,UTEP,NA,NA,NA,NA,NA,NA,NA,
434,UTEP21547,NA,NA,exsanguis,UTEP,31.21265,-105.49297,NA,6/3/16,Hudspeth County,Texas,United States,
435,UTEP21551,NA,NA,velox,UTEP,31.95262,-106.3631,NA,8/11/16,El Paso County,Texas,United States,
436,UTEP21677,NA,NA,neomexicanus,UTEP,32.012,-106.55707,F,7/8/17,Doña Ana County,New Mexico,United States,
437,UTEP21736,NA,NA,sexlineatus,UTEP,35.51068,-100.42252,NA,5/22/17,Wheeler County,Texas,United States,
