X,Specimen.Number,Alternative.tube.info,DNA.Concentration..ng.uL.,Species,LocalityInformation,Latitude,Longitude,Sex,Date,county,state,country,notes
58,MSB98749,NA,NA,tesselatus,AllRAD,34.145740000000004,-106.97063,F,NA,Socorro County,New Mexico,United States,
59,MSB98794,NA,NA,velox,AllRAD,NA,NA,NA,NA,NA,NA,NA,
60,MSB98848,NA,NA,exsanguis,AllRAD,32.096939999999996,-108.97523,F,NA,Hidalgo County,New Mexico,United States,
61,MVZ252643,NA,NA,arizonae,AllRAD,32.522889999999997,-106.767819,NA,NA,Doña Ana County,New Mexico,United States,
62,MVZ252645,NA,NA,arizonae,AllRAD,NA,NA,NA,NA,NA,NA,NA,
63,MVZ252646,NA,NA,arizonae,AllRAD,32.522889999999997,-106.767819,NA,NA,Doña Ana County,New Mexico,United States,
64,MVZ264331,NA,NA,motaguae,AllRAD,14.94049,-89.96907,NA,NA,San Agustín Acasaguastlán,El Progreso,Guatemala,
65,MVZ265501,NA,NA,motaguae,AllRAD,NA,NA,NA,NA,NA,NA,NA,
66,MVZ269735,NA,NA,tesselatus,AllRAD,NA,NA,NA,NA,NA,NA,NA,
67,OCG6220,NA,28.2,arizonae,AllRAD,NA,NA,NA,NA,NA,NA,NA,
68,OCGR12740,NA,NA,sexlineatus,AllRAD,33.892879999999998,-96.86561,NA,NA,Marshall County,Oklahoma,United States,
69,OCGR4942,NA,18.9,marmoratus,AllRAD,35.05155182,-99.85707855,NA,NA,Beckham County,Oklahoma,United States,
70,OCGR4943,NA,21.3,gularis,AllRAD,35.05155182,-99.85707855,NA,NA,Beckham County,Oklahoma,United States,
71,OCGR4952,NA,NA,sexlineatus,AllRAD,34.51229,-96.00281,NA,NA,Atoka County,Oklahoma,United States,
72,OCGR6219,NA,52.2,arizonae,AllRAD,32.13653,-109.4937,NA,NA,Cochise County,Arizona,United States,
73,OCGR6228,NA,NA,arizonae,AllRAD,32.122109999999999,-109.473,NA,NA,Cochise County,Arizona,United States,
74,OCGR6229,NA,88.7,arizonae,AllRAD,32.123699999999999,-109.4722,NA,NA,Cochise County,Arizona,United States,
75,OCGR6230,NA,42.5,arizonae,AllRAD,32.120800000000003,-109.47243,NA,NA,Cochise County,Arizona,United States,
76,OCGR6243,NA,22.4,burti,AllRAD,32.202379999999998,-110.14319,NA,NA,Cochise County,Arizona,United States,
77,OCGR7048,NA,353,sexlineatus,AllRAD,35.873930000000001,-99.68023,NA,NA,Ellis County,Oklahoma,United States,
78,OCGR7510,NA,55,velox,AllRAD,32.237029999999997,-109.39205,NA,NA,Cochise County,Arizona,United States,
79,OCGR8439,NA,NA,burti,AllRAD,31.639589999999998,-109.44412,NA,NA,Cochise County,Arizona,United States,
80,OCGR8466,NA,NA,exsanguis,AllRAD,31.864270000000001,-109.35875,NA,NA,Cochise County,Arizona,United States,
81,OCGR8511,NA,85.6,sonorae,AllRAD,31.88965,-110.36855,NA,NA,Cochise County,Arizona,United States,
82,OCGR8512,NA,18.4,sonorae,AllRAD,31.895250000000001,-110.36772,NA,NA,Cochise County,Arizona,United States,
83,OCGR8518,NA,93.3,sonorae,AllRAD,31.350490000000001,-109.05003,NA,NA,Hidalgo County,New Mexico,United States,
84,OCGR8560,NA,NA,velox,AllRAD,31.888559999999998,-110.34888,NA,NA,Cochise County,Arizona,United States,
85,OCGR8564,NA,NA,velox,AllRAD,31.887450000000001,-110.35905,NA,NA,Cochise County,Arizona,United States,
86,AMNH102012,NA,NA,velox,AMNH,NA,NA,NA,6/19/88,NA,NA,NA,
87,AMNH104629,NA,NA,sexlineatus,AMNH,NA,NA,NA,5/12/83,NA,NA,NA,
88,AMNH104672,NA,NA,neomexicanus,AMNH,NA,NA,NA,5/30/78,NA,NA,NA,
89,AMNH104673,NA,NA,neomexicanus,AMNH,NA,NA,NA,6/8/78,NA,NA,NA,
90,AMNH104680,NA,NA,neomexicanus,AMNH,NA,NA,NA,7/9/88,NA,NA,NA,
91,AMNH104682,NA,NA,neomexicanus,AMNH,NA,NA,NA,5/28/90,NA,NA,NA,
92,AMNH109691,NA,NA,neomexicanus,AMNH,34.4744,-104.24,NA,7/14/02,De Baca County,New Mexico,United States,
93,AMNH111468,NA,NA,sonorae,AMNH,NA,NA,NA,7/16/86,NA,NA,NA,
94,AMNH111470,NA,NA,sonorae,AMNH,NA,NA,NA,6/21/85,NA,NA,NA,
95,AMNH111471,NA,NA,sonorae,AMNH,NA,NA,NA,6/21/85,NA,NA,NA,
96,AMNH111481,NA,NA,sonorae,AMNH,NA,NA,NA,7/27/86,NA,NA,NA,
97,AMNH111498,NA,NA,sonorae,AMNH,NA,NA,NA,6/21/78,NA,NA,NA,
98,AMNH111500,NA,NA,sonorae,AMNH,NA,NA,NA,6/22/78,NA,NA,NA,
99,AMNH111503,NA,NA,sonorae,AMNH,NA,NA,NA,8/7/81,NA,NA,NA,
100,AMNH111519,NA,NA,sonorae,AMNH,NA,NA,NA,6/20/82,NA,NA,NA,
101,AMNH111524,NA,NA,sonorae,AMNH,NA,NA,NA,7/21/82,NA,NA,NA,
102,AMNH111527,NA,NA,sonorae,AMNH,NA,NA,NA,7/19/82,NA,NA,NA,
103,AMNH111537,NA,NA,sonorae,AMNH,NA,NA,NA,6/1/83,NA,NA,NA,
104,AMNH111545,NA,NA,sonorae,AMNH,NA,NA,NA,6/28/84,NA,NA,NA,
105,AMNH111572,NA,NA,sonorae,AMNH,NA,NA,NA,6/26/82,NA,NA,NA,
106,AMNH111650,NA,NA,sonorae,AMNH,NA,NA,NA,7/18/82,NA,NA,NA,
107,AMNH111670,NA,NA,sonorae,AMNH,NA,NA,NA,6/27/84,NA,NA,NA,
108,AMNH111683,NA,NA,sonorae,AMNH,NA,NA,NA,NA,NA,NA,NA,
