"","Category","ID","Colector","# colector","Species","Subspecies","Clade","Clade map","State/Country","Locality","Latitude","Longitude","Elevation","Sex","Age","Extraction notebook","Extraction sample","Box new","Cell new","Plate","Well","Quality","Photo CJPV","Photo UH","Vol","ng/μl","μl p/500 ng","corrected # ANMO","Qual + Qu","Id map","Id mapa","Morphology","Comments"
"150","NT Q",NA,"ANMO","3460","guttata","immutabilis","gi NW Gro","17-","Gro","Carr. Coyuca de Benítez-Atoyac de Álvarez, Pte. Coyuca I",17.008556,-100.097139,NA,NA,NA,NA,NA,"2","D1",2,"D1","Good","6,26","UH3","20","33.9",14.7492625368732,NA,"R","17-R","ANMO3460","2 pares de dorsolaterales? No se distinguen bien las líneas (puntos), pero pudiera ser",NA
"151","T Q",NA,"ANMO","2889","deppii","deppii","dr costa Oax-Chis","4-","Chis","Entre Colonia Emiliano Zapata y Arriaga",16.1991388888889,-94.0535833333333,NA,NA,NA,NA,NA,"2","D2",2,"D2","Good",NA,"UH2","30","28.8",17.3611111111111,NA,"R","4-R","ANMO2889",NA,NA
"152","Disc T NQ",NA,"EPR","1277","lineatissima","lineattissima",NA,NA,"Col","Manzanillo",NA,NA,NA,NA,NA,NA,NA,"CARD","B7",NA,NA,"Bad. Mostly degraded","5,3",NA,NA,NA,NA,NA,"Bad",NA,NA,NA,NA
"153","Disc T NQ",NA,"EPR","1277","lineatissima","lineattissima",NA,NA,"Col","Manzanillo",NA,NA,NA,NA,NA,NA,NA,"CARD","E4",NA,NA,"Bad. Very little","7,20",NA,NA,NA,NA,NA,"Bad",NA,NA,NA,NA
"154","Disc T NQ",NA,"EPR","1356","deppii","deppii","dr V Rica-L Tejada",NA,"Ver","8 km E Lerdo de Tejada",18.66666667,-95.4833333,NA,NA,NA,NA,NA,"CARD","G2",NA,NA,"Poor. Mostly degraded",NA,"UH2",">50","92.6",5.39956803455724,NA,"Bad",NA,NA,NA,NA
"155","Disc T NQ",NA,"EPR","1358","guttata","guttata","guttata",NA,"Ver","Tejada",NA,NA,NA,NA,NA,NA,NA,"CARD","H6",NA,NA,"Poor. Mostly degraded",NA,"UH2",">50","52.1",9.59692898272553,NA,"Bad",NA,NA,NA,NA
"156","Disc NT NQ",NA,"FVS","170","lineatissima","duodecemlineata",NA,NA,"Jal","Desembocadura, Carr. Puerto Vallarta-Mascotas",20.796111,-104.938728,NA,NA,NA,NA,NA,"CARD","E1",NA,NA,"Bad. Very little","7,10",NA,NA,NA,NA,NA,"Bad",NA,NA,NA,NA
"157","T Q",NA,"JAC","21902","deppii","deppii","dr I Tehuantepec","7-","Oax","Mixtequilla",16.37444444,-95.2597222,NA,NA,NA,NA,NA,"2","D5",2,"E1","Good",NA,"UH2",">50","23.8",21.0084033613445,NA,"R","7-R","JAC21902",NA,NA
"158","T Q",NA,"ANMO","1824","deppii","deppii","dr Tab-Camp","9-","Tab","Magallanes",18.304,-93.8406111111111,NA,NA,NA,NA,NA,"2","D6",2,"E2","Good",NA,"UH2","35","22.4",22.3214285714286,NA,"R","9-R","ANMO1824",NA,NA
"159","NT Q",NA,"ANMO","3800","deppii","infernalis","di Gro-Pue","11-","Pue","1.5 km NW Pueblo de Galeana",18.2664,-98.10816,NA,NA,NA,NA,NA,"2","D7",2,"E3","Good. Some degraded dna",NA,"UH1","100","22",22.7272727272727,NA,"R","11-R","ANMO3800",NA,NA
"160","T NQ",NA,"UOGV","970","guttata","flavilineata","gf-gi Cintalapa-P. Escondido+","14-","Chis","SE Cintalapa por la carretera Mex 190 rumbo a Rizo de oro",16.6448611111111,-93.76375,NA,NA,NA,NA,NA,"1","A2",1,"A2","Good. Lots degraded dna","4,16","UH7","100","148",3.37837837837838,NA,"R*","14-R*","UOGV970",NA,NA
"161","Disc T NQ",NA,"IDF","172","guttata","immutabilis","gf-gi Cintalapa-P. Escondido+",NA,"Oax","1.5 km NW San Pedro Totolapan, por carretera Mex 190 Oaxaca-Juchitán",16.6852777777778,-96.3204166666667,NA,NA,NA,NA,NA,"CARD","H2",NA,NA,"Poor. Mostly degraded","4,18","UH6",NA,"70.400000000000006",7.10227272727273,NA,"Bad",NA,NA,NA,NA
"162","T Q",NA,"ANMO","934","deppii","deppii","dr I Tehuantepec","7-","Oax","Aprox 4 km por carretera hacia las ruinas de Guiengola desde la desviación de la carretera 190 Tehuantepec-Oaxaca (desviación @ aprox 10 km por carretera de Tehuantepec hacia Oaxaca)",16.37595,-95.31785,NA,NA,NA,NA,NA,"1","A4",1,"A4","Poor. Little degraded",NA,"UH2","20","132",3.78787878787879,NA,"R*","7-R*","ANMO934",NA,NA
"163","T Q",NA,"ANMO","1069","deppii","infernalis","di Mich","12-","Mich","Aprox. 3 km por carr de cuota 37 del Puente El Marqués hacia Nueva Italia (aprox km 168)",18.8631944444444,-102.070972222222,NA,NA,NA,NA,NA,"1","A6",1,"A6","Good. Lots degraded dna","8,2","UH5",NA,"120",4.16666666666667,NA,"R*","12-R*","ANMO1069",NA,NA
"164","T Q",NA,"UOGV","181","deppii","deppii","dr I Tehuantepec","7-","Ver","1.5 Km E de Ejido Los Pericos, Carr. Las Choapas-Tuxtla Gutierrez",17.8561388888889,-94.0919722222222,NA,NA,NA,NA,NA,"1","B2",1,"A12","Good. Lots degraded dna","3,5","UH7",NA,"108",4.62962962962963,NA,"R*","7-R*","UOGV181",NA,NA
"165","Disc outg NT NQ",NA,"ISZ","s/n","hyperythra","not found",NA,"13-","BC","El Arco",NA,NA,NA,NA,NA,NA,NA,"CARD","I4",NA,NA,"Poor. Mostly degraded",NA,"UH1",NA,NA,NA,NA,"Bad",NA,NA,"Not found",NA
"166","T Q",NA,"ANMO","3149","deppii","deppii","dr V Rica-L Tejada","10-","Ver","Playa de Villa Rica",19.6753055555556,-96.3980833333333,NA,NA,NA,NA,NA,"1","B3",1,"A11","Good. Lots degraded dna","6,8","UH7",NA,"108",4.62962962962963,NA,"R*","10-R*","ANMO3149",NA,NA
"167","Disc T Q",NA,"JAC","21197","guttata","immutabilis",NA,NA,"Oax","1.6 mi NW Totolapan, 1100m",16.6832666666667,-96.3178611111111,NA,NA,NA,NA,NA,"CARD","H8",NA,NA,"Poor. Mostly degraded, very little","4,25",NA,"10","9.5299999999999994",52.4658971668416,NA,"Bad",NA,NA,"Poco DNA en gel",NA
"168","T Q",NA,"IDF","166","deppii","deppii","dr Dep C Chis","5-","Chis","Camino a Francisco G.Mujica",16.0698055555556,-92.1684722222222,NA,NA,NA,NA,NA,"1","B5",1,"B3","Regular. Mostly degraded","1,24","UH4",NA,"106",4.71698113207547,NA,"R*","5-R*","IDF166",NA,NA
"169","T Q",NA,"ANMO","929","deppii","deppii","dr I Tehuantepec","7-","Oax","Alrededores (NE) de Zanatepec",16.4861333333333,-94.3515333333333,NA,NA,NA,NA,NA,"1","B6",1,"B1","Regular. Lots degraded dna","3,1","UH3",NA,"106",4.71698113207547,NA,"R*","7-R*","ANMO929",NA,NA
"170","T Q",NA,"MSM","389","deppii","deppii","db Chis-Costa Rica","2-","Guat",NA,NA,NA,NA,NA,NA,NA,NA,"1","B7",1,"B4","Regular. Lots degraded dna","1,22","UH3",NA,"104",4.80769230769231,NA,"R*","2-R*","MSM389",NA,NA
