"","Category","ID","Colector","# colector","Species","Subspecies","Clade","Clade map","State/Country","Locality","Latitude","Longitude","Elevation","Sex","Age","Extraction notebook","Extraction sample","Box new","Cell new","Plate","Well","Quality","Photo CJPV","Photo UH","Vol","ng/μl","μl p/500 ng","corrected # ANMO","Qual + Qu","Id map","Id mapa","Morphology","Comments"
"203","Disc T Q",NA,"UOGV","780","guttata","immutabilis","gi C Gro-Pinotepa+",NA,"Gro","Carretera a Tixtla, camino de la desviación que va hacia el sur, aprox 5 km antes de llegar a Tixtla",17.5378055555556,-99.4543333333333,NA,NA,NA,NA,NA,"CARD","A3",NA,NA,"Bad. Mostly degraded","4,22","UH3","40","470",1.06382978723404,NA,"Bad",NA,NA,NA,NA
"204","Disc T Q",NA,"UOGV","786","guttata","immutabilis","gi C Gro-Pinotepa+",NA,"Gro","Agua de Obispo, carretera  libre Chilpancingo-Acapulco",17.3181388888889,-99.4695,NA,NA,NA,NA,NA,"CARD","A2",NA,NA,"Bad. Mostly degraded","4,21","UH3",">50","493",1.01419878296146,NA,"Bad",NA,NA,NA,NA
"205","Disc T Q",NA,"UOGV","789","guttata","immutabilis","gi C Gro-Pinotepa+",NA,"Gro","Puente La Sabana, carretera Chilpancingo-Zihuatanejo (Mex 200), pasando la desviación a Zihuatanejo",16.9817222222222,-99.8205277777778,NA,NA,NA,NA,NA,"CARD","A7",NA,NA,"Bad. Mostly degraded","4,20","UH6",NA,"83",6.02409638554217,NA,"Bad",NA,NA,NA,NA
"206","Disc T NQ",NA,"UOGV","837","deppii","deppii","db Cacalutla-S Cruz",NA,"Gro","Km 149 carretera Marquelia-Pinotepa Nacional (Mex 200)",16.6092777777778,-98.7146666666667,NA,NA,NA,NA,NA,"CARD","E9",NA,NA,"Poor. Mostly degraded",NA,"UH2","50","455",1.0989010989011,NA,"Bad",NA,NA,NA,NA
"207","T Q",NA,"UOGV","967","guttata","flavilineata","gf-gi Cintalapa-P. Escondido+","14-","Chis","Km 20 carretera Agrónomos Mexicanos-Tiltepec",16.4121388888889,-93.7229722222222,NA,NA,NA,NA,NA,"1","H9",1,"F12","Good. Lots degraded dna","4,17","UH5",NA,"68",7.35294117647059,NA,"R*","14-R*","UOGV967",NA,NA
"208","Disc NT NQ",NA,"UOGV","846","deppii","deppii",NA,NA,"Oax","Aprox 28 Km E de Pinotepa Nacional, x carretera Pinotepa-Pto. Escondido (Mex 200)",16.2868333333333,-97.8418888888889,NA,NA,NA,NA,NA,"CARD","D5",NA,NA,"Bad. Very little","6,1",NA,NA,NA,NA,NA,"Bad",NA,NA,"Poco DNA en gel",NA
"209","Disc T Q",NA,"UOGV","876","guttata","flavilineata","wrong clade (d d costa Chis-CR)",NA,"Chis","Rancho Ojo de Agua, aprox 3 km SE Pijijiapan por carretera Mex 200",15.6736944444444,-93.1826944444445,NA,NA,NA,NA,NA,"CARD","A4",NA,NA,"Bad. Mostly degraded",NA,"UH2",">50","297",1.68350168350168,NA,"Bad",NA,NA,NA,NA
"210","T Q",NA,"ANMO","432","deppii","infernalis","di Gro-Pue","11-","Mor","Aproximadamente 2 km NE Puente de Ixtla; desviación de la autopista México-Acapulco hacia Iguala y Taxco (carr 95D, km 0)",18.6511166666667,-99.2985666666667,NA,NA,NA,NA,NA,"1","I7",1,"G7","Regular. Mostly degraded","4,2","UH5",NA,"62.4",8.01282051282051,533,"R*","11-R*","ANMO432",NA,NA
"211","T Q",NA,"UOGV","228","guttata","guttata","guttata","15-","Ver","Barra de Tecolutla",20.45925,-96.9871388888889,NA,NA,NA,NA,NA,"1","I8",1,"G8","Regular. Lots degraded dna","3,14","UH5",NA,"61",8.19672131147541,NA,"R*","15-R*","UOGV228",NA,NA
"212","NT Q",NA,"ANMO","3095","deppii","infernalis","di Mich","12-","Mich","Alrededores de Cumburindio, camino a Turitzio",18.5421944444444,-100.958222222222,NA,NA,NA,NA,NA,"2","A3",1,"G12","Good. Lots degraded dna","8,7","UH7","60","59.1",8.46023688663283,NA,"R*","12-R*","ANMO3095",NA,NA
"213","T Q",NA,"IDF","149","guttata","flavilineata","wrong clade (d d costa Chis-CR)","d d 2-","Chis","Desviación al ejido El Progreso, carretera Mex 200,  aprox6 km SE Pijijiapan",15.6226388888889,-93.1298333333333,NA,NA,NA,NA,NA,"2","A5",1,"H2","Regular. Mostly degraded","1,20","UH5",NA,"58.4",8.56164383561644,NA,"R*","d d 2-R*","IDF149",NA,NA
"214","T Q",NA,"ANMO","884","guttata","immutabilis","gi C Gro-Pinotepa+","16-","Oax","Aprox 2 km por carretera hacia Sn. Pedro Orizaba desde la desviación de la carretera 200 Cruz Grande-Pinotepa Nacional (desviación @ aprox 7 km por carretera 200 de Cuajinicuilapa hacia Pinotepa Nacional)",16.4503833333333,-98.3313333333333,NA,NA,NA,NA,NA,"2","B1",1,"H7","Regular. Some degraded dna","5,30","UH6",NA,"52.8",9.46969696969697,NA,"R*","16-R*","ANMO884",NA,NA
"215","T Q",NA,"ANMO","926","guttata","immutabilis","gf-gi Cintalapa-P. Escondido+","14-","Oax","Alrededores (NE) de Zanatepec",16.4861333333333,-94.3515333333333,NA,NA,NA,NA,NA,"2","B3",1,"H9","Regular. Lots degraded dna","3,19","UH3",">50","52.1",9.59692898272553,NA,"R*","14-R*","ANMO926",NA,NA
"216","Disc T NQ",NA,"UOGV","1015","deppii","deppii",NA,NA,"Ver","Rumbo a la playa de Lerdo de Tejada, aprox. 8 km de Lerdo de Tejada por el camino a la playa",18.6994444444444,-95.4903611111111,NA,NA,NA,NA,NA,"CARD","I1",NA,NA,"Poor. Mostly degraded","1,13","UH7",NA,NA,NA,NA,"Bad",NA,NA,NA,NA
"217","Disc T NQ",NA,"UOGV","1019","deppii","deppii","dr V Rica-L Tejada",NA,"Ver","Arbolillo, playa de Alvarado",18.8189166666667,-95.8356944444444,NA,NA,NA,NA,NA,"CARD","F1",NA,NA,"Poor. Mostly degraded",NA,"UH2","50","377",1.3262599469496,NA,"Bad",NA,NA,NA,NA
"218","T Q",NA,"ANMO","3151","deppii","deppii","dr V Rica-L Tejada","10-","Ver","Playa de Villa Rica",19.6753055555556,-96.3980833333333,NA,NA,NA,NA,NA,"2","C3",2,"B2","Good. Lots degraded dna",NA,"UH7","40","44.1",11.3378684807256,NA,"R*","10-R*","ANMO3151",NA,NA
"219","T Q",NA,"ANMO","3093","deppii","infernalis","di Mich","12-","Mich","Alrededores de Cumburindio, camino a Turitzio",18.5421944444444,-100.958222222222,NA,NA,NA,NA,NA,"2","D8",2,"E4","Good. Some degraded dna",NA,"UH1","20","17.3",28.9017341040462,NA,"R*","12-R*","ANMO3093",NA,"Se requerían 28.9 ul; pero sólo hubo 20 ul"
"220","T Q",NA,"ANMO","883","guttata","immutabilis","gi C Gro-Pinotepa+",NA,"Oax","Aprox 2 km por carretera hacia Sn. Pedro Orizaba desde la desviación de la carretera 200 Cruz Grande-Pinotepa Nacional (desviación @ aprox 7 km por carretera 200 de Cuajinicuilapa hacia Pinotepa Nacional)",16.4503833333333,-98.3313333333333,NA,NA,NA,NA,NA,"3","A4",NA,NA,"Regular. Mostly degraded","2,4","UH3",">50","147",3.40136054421769,NA,"R**",NA,NA,NA,NA
"221","T Q",NA,"ANMO","935","deppii","deppii","dr I Tehuantepec",NA,"Oax","Aprox 4 km por carretera hacia las ruinas de Guiengola desde la desviación de la carretera 190 Tehuantepec-Oaxaca (desviación @ aprox 10 km por carretera de Tehuantepec hacia Oaxaca)",16.37595,-95.31785,NA,NA,NA,NA,NA,"3","A3",NA,NA,"Regular. Mostly degraded",NA,"UH2",">50","162",3.08641975308642,NA,"R**",NA,NA,NA,NA
"222","Disc NT Q",NA,"UOGV","1526","lineatissima","exorista","l exo",NA,"Mich","Carr. Nueva Italia-Arteaga, Puente Capirio",18.8532222222222,-102.142055555556,NA,NA,NA,NA,NA,"3","A1",NA,NA,"Regular. Lots degraded dna, too little",NA,"UH1","25","10",50,NA,"Bad",NA,NA,NA,NA
"223","Unn NT NQ dup",NA,"UOGV","1526","lineatissima","exorista",NA,NA,"Mich","Carr. Nueva Italia-Arteaga, Puente Capirio",18.85322222,-102.1420556,NA,NA,NA,NA,NA,"3","B6",NA,NA,NA,"ND",NA,NA,NA,NA,NA,NA,NA,NA,"Tejido",NA
"224","T Q",NA,"JJW","s/n","guttata","Juchatengo","gi C Gro-Pinotepa+","16-","Oax","Cerro Vidrio",16.251839,-97.152322,NA,NA,NA,NA,NA,"2","D3",2,"D3","Poor. Some degraded, little less than needed","5,13","no","16.5","26.3",19.0114068441065,NA,"R**","16-R**","JJWs/n",NA,"Se requerían 19.01, pero sólo hubo 16.5"
"225","T Q",NA,"ANMO","762","guttata","Juchatengo","gi C Gro-Pinotepa+",NA,"Oax","Sierra Madre del Sur, carr 131 Oaxaca-Puerto Escondido, caserío ""La Luna"", aprox. Km 138",16.3389166666667,-97.1118333333333,NA,NA,NA,NA,NA,"2","F2",2,"H4","Poor. Mostly degraded","5,12","UH6",NA,"72.599999999999994",6.8870523415978,NA,"R**",NA,NA,NA,NA
"226","Disc T NQ",NA,"UOGV","893a","deppii","deppii",NA,NA,"Chis","Camino de Paraiso Grijalva a Col. Nuevo Jordan, alrededores de la Presa La Angostura",16.19325,-92.6078889,NA,NA,NA,NA,NA,"CARD","H9",NA,NA,"Poor. Mostly degraded","4,9","UH7",NA,NA,NA,NA,"Bad",NA,NA,NA,NA
