"","BKS #","DATE","COL","SPECIES","LOCALITY"
"251",1417,"38185","BKS","Aspidoscelis pai","AZ: Coconino Co., Twin Arrows, just south I-40 (477443, 3889389)"
"252",1418,"38185","BKS","Aspidoscelis pai","AZ: Coconino Co., Twin Arrows, just south I-40 (477443, 3889389)"
"253",1419,"38185","BKS","A. velox","AZ: Coconino Co.,  Buffalo Ranch Rd, just south I-40 (483398, 3886294)"
"254",1420,"38185","BKS","A. velox","AZ: Coconino Co.,  Buffalo Ranch Rd, just south I-40 (483398, 3886294)"
"255",1421,"38185","BKS","A. t. septentrionalis","AZ: Coconino Co., SR 89, 31 mi. north I-40, Babbitt Ranch (455345, 3952299)"
"256",1422,"38186","BKS","A. velox","AZ: Coconino Co., SR 64, 9 mi. north Valle (397260, 3958996)"
"257",1423,"38186","BKS","Eumeces multivirgatus","AZ: Coconino Co., SR 180, 2 mi.east Valle"
"258",1424,"38192","BKS","A. tigris","AZ: Mohave Co., Cane Springs Ranch Rd @ SR 93, 12 mi. so. I-40 (255901, 3871274)"
"259",1425,"38192","BKS","A. tigris","AZ: Mohave Co., Cane Springs Ranch Rd @ SR 93, 12 mi. so. I-40 (255901, 3871274)"
"260",1426,"38192","BKS","A. tigris","AZ: Mohave Co., Cane Springs Ranch Rd @ SR 93, 12 mi. so. I-40 (255901, 3871274)"
"261",1427,"38192","BKS","A. tigris","AZ: Mohave Co., Cane Springs Ranch Rd @ SR 93, 12 mi. so. I-40 (255901, 3871274)"
"262",1428,"38192","BKS","A. t. septentrionalis","AZ: Mohave Co., “degraded grassland” @ Rte 66, 10 mi. no. Kingman (12S, 237105, 3915170)"
"263",1429,"38192","BKS","A. t. septentrionalis","AZ: Mohave Co., “degraded grassland” @ Rte 66, 10 mi. no. Kingman (12S, 237105, 3915170)"
"264",1430,"38192","BKS","A. t. septentrionalis","AZ: Mohave Co., “degraded grassland” @ Rte 66, 10 mi. no. Kingman (12S, 237105, 3915170)"
"265",1431,"38192","BKS","A. t. septentrionalis","AZ: Mohave Co., “degraded grassland” @ Rte 66, 10 mi. no. Kingman (12S, 237105, 3915170)"
"266",1432,"38192","BKS","A. t. septentrionalis","AZ: Mohave Co., Antares Rd, west Rte 66, 18 mi. no. Kingman (244786, 3925339)"
"267",1433,"38193","BKS","A. t. septentrionalis","AZ: Mohave Co., Truxton (270638, 3930202)"
"268",1434,"38193","BKS","A. velox","AZ: Coconino Co., Grand Cyn Caverns, Rte 66 (296262, 3933974)"
"269",1435,"38193","BKS","A. velox","AZ: Yavapai Co., 12 mi. east Grn. Cyn. Caverns, Rte 66 (313411, 3922028)"
"270",1436,"38193","BKS","A. velox","AZ: Yavapai Co., east Seligman on Rte 66 (342541, 3905870)"
"271",1437,"38199","BKS","hybrid whiptail","NM: Hidalgo Co., 0.3 mi. east Steins Crossing, PLT (690354, 3566665){A. t. punctilinealis X A. marmorata]"
"272",1438,"38199","BKS","hybrid whiptail","NM: Hidalgo Co., 0.3 mi. east Steins Crossing, PLT  (690354, 3566665)[A. t. punctilinealis X A. marmorata]"
"273",1439,"38199","BKS","hybrid whiptail","NM: Hidalgo Co., 0.7 mi. east Steins Crossing, PLT (691033, 3566749)[A. t. punctilinealis X A. marmorata]"
"274",1440,"38199","BKS","hybrid whiptail","NM: Hidalgo Co., 0.7 mi. east Steins Crossing, PLT (691033, 3566749)[A. t. punctilinealis X A. marmorata]"
"275",1441,"38199","BKS","hybrid whiptail","NM: Hidalgo Co., 0.7 mi. east Steins Crossing, PLT (691033, 3566749)[A. t. punctilinealis X A. marmorata]"
"276",1442,"38199","BKS","hybrid whiptail","NM: Hidalgo Co., 0.7 mi. east Steins Crossing, PLT (691033, 3566749)[A. t. punctilinealis X A. marmorata]"
"277",1443,"38199","BKS","hybrid whiptail","NM: Hidalgo Co., 0.8 mi. east Steins Crossing, PLT (691114, 3566752)[A. t. punctilinealis X A. marmorata]"
"278",1444,"38199","BKS","hybrid whiptail","NM: Hidalgo Co., 0.8 mi. east Steins Crossing, PLT (691114, 3566752)[A. t. punctilinealis X A. marmorata]"
"279",1445,"38199","BKS","hybrid whiptail","NM: Hidalgo Co., 1.2 mi. east Steins Crossing, PLT (691715, 3566830)[A. t. punctilinealis X A. marmorata]"
"280",1446,"38199","BKS","hybrid whiptail","NM: Hidalgo Co., 1.2 mi. east Steins Crossing, PLT (691715, 3566830)[A. t. punctilinealis X A. marmorata]"
"281",1447,"38199","BKS","hybrid whiptail","NM: Hidalgo Co., 1.2 mi. east Steins Crossing, PLT (691715, 3566830)[A. t. punctilinealis X A. marmorata]"
"282",1448,"38199","BKS","hybrid whiptail","NM: Hidalgo Co., 2.0 mi. east Steins Cross., PLT, SR 80 (692920, 3566900)[A.t.  punctilinealis X A. marmorata]"
