"","Extended Summary Data","Catalog Prefix","Catalog Number","Current Qualified Name","Identification comments","Type Status","Determiner","Date Identified","Sex","Stage","Habitat/Microhabitat","Continent","Country","Province/State/Territory","District/County/Shire","Township","Precise/Location","Site Name","Verbatim Elevation","Elevation (From—Met)","Elevation (From—Ft)","Elevation (To—Met)","Elevation (To—Ft)","Latitude (Centroid—DMS)","Latitude (Centroid—Dec)","Longitude (Centroid—DMS)","Longitude (Centroid—Dec)","Lat-Long Notes","Collector String","Expedition Name/Date","Collection Date (from)","Collection Date (to)","Verbatim Collection Date","“Original” locality data","Deaccessioned?...35","Collector Number","Other Numbers: Kind","Other Numbers: Source","Other Numbers: Value","Note","Note Type","Deaccessioned?...42","Tissue Source","Tissue Other Numbers","AMCC Number","Storage Medium","Preservation History"
"1","R135021: Aspidoscelis arizonae; Teiidae; [Fluid] Corpus; [Tissue] {FT 1528}; Captive Born: Captive Born: (Captive born in AMNH lizard colony)","R",135021,"Aspidoscelis arizonae",NA,NA,NA,NA,"Male",NA,NA,"Captive Born","Captive Born",NA,NA,NA,"(Captive born in AMNH lizard colony)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Captive born","No",NA,NA,NA,NA,"Toe clip (RR-1,LR-2,RF-3,LF-2)","Toe clip",NA,NA,"FT 1528",112636,NA,NA
"2","R135037: Aspidoscelis arizonae; Teiidae; [Fluid] Corpus; [Tissue] {FT 1526}; Captive Born: Captive Born: (Captive born in AMNH lizard colony)","R",135037,"Aspidoscelis arizonae",NA,NA,NA,NA,"Male",NA,NA,"Captive Born","Captive Born",NA,NA,NA,"(Captive born in AMNH lizard colony)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Captive born","No",NA,NA,NA,NA,"Toe clip (RR-1,LR-1,RF-3,LF-4)","Toe clip",NA,NA,"FT 1526",113513,NA,NA
"3","R135039: Aspidoscelis arizonae; Teiidae; [Fluid] Corpus; [Tissue] {FT 1531}; Captive Born: Captive Born: (Captive born in AMNH lizard colony)","R",135039,"Aspidoscelis arizonae",NA,NA,NA,NA,"Male",NA,NA,"Captive Born","Captive Born",NA,NA,NA,"(Captive born in AMNH lizard colony)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Captive born","No",NA,NA,NA,NA,"Toe clip (RR-1,LR-1,RF-4,LF-4)","Toe clip",NA,NA,"FT 1531",112639,NA,NA
"4","R135041: Aspidoscelis arizonae; Teiidae; [Fluid] Corpus; [Tissue] {FT 1529}; Captive Born: Captive Born: (Captive born in AMNH lizard colony)","R",135041,"Aspidoscelis arizonae",NA,NA,NA,NA,"Male",NA,NA,"Captive Born","Captive Born",NA,NA,NA,"(Captive born in AMNH lizard colony)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Captive born","No",NA,NA,NA,NA,"Toe clip (RR-1,LR-2,RF-4,LF-1)","Toe clip",NA,NA,"FT 1529",112637,NA,NA
"5","R135042: Aspidoscelis arizonae; Teiidae; [Fluid] Corpus; [Tissue] {FT 1530}; Captive Born: Captive Born: (Captive born in AMNH lizard colony)","R",135042,"Aspidoscelis arizonae",NA,NA,NA,NA,"Male",NA,NA,"Captive Born","Captive Born",NA,NA,NA,"(Captive born in AMNH lizard colony)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Captive born","No",NA,NA,NA,NA,"Toe clip (RR-1,LR-3,RF-4,LF-1)","Toe clip",NA,NA,"FT 1530",112638,NA,NA
"6","R133220: Aspidoscelis arizonae; Teiidae; [Fluid] Corpus; [Tissue] {FT 1738}; North America: United States: Arizona: Cochise: 4.0 mi (by AZ hwy 186) SE Wilcox: 4200 ft elev: 9 Jun 1988 - 9 Jun 1988; Charles J. Cole & Carol R. Townsend (JC 5404)","R",133220,"Aspidoscelis arizonae",NA,NA,NA,NA,"Female",NA,NA,"North America","United States","Arizona","Cochise",NA,"4.0 mi (by AZ hwy 186) SE Wilcox",NA,"4200 ft",1280,4200,NA,NA,NA,NA,NA,NA,NA,"Charles J. Cole & Carol R. Townsend",NA,1988-06-09,1988-06-09,NA,"USA: Arizona: Cochise: 4.0 mi (by AZ hwy 186) SE Wilcox, 4200 ft","No","JC 5404",NA,NA,NA,NA,NA,NA,NA,"FT 1738",113887,NA,NA
"7","R133221: Aspidoscelis arizonae; Teiidae; [Fluid] Corpus; [Tissue] {FT 1739}; North America: United States: Arizona: Cochise: 4.0 mi (by AZ hwy 186) SE Wilcox: 4200 ft elev: 9 Jun 1988 - 9 Jun 1988; Charles J. Cole & Carol R. Townsend (JC 5405)","R",133221,"Aspidoscelis arizonae",NA,NA,NA,NA,"Female",NA,NA,"North America","United States","Arizona","Cochise",NA,"4.0 mi (by AZ hwy 186) SE Wilcox",NA,"4200 ft",1280,4200,NA,NA,NA,NA,NA,NA,NA,"Charles J. Cole & Carol R. Townsend",NA,1988-06-09,1988-06-09,NA,"USA: Arizona: Cochise: 4.0 mi (by AZ hwy 186) SE Wilcox, 4200 ft","No","JC 5405",NA,NA,NA,NA,NA,NA,NA,"FT 1739",113888,NA,NA
"8","R134998: Aspidoscelis arizonae; Teiidae; [Fluid] Corpus; [Tissue] {FT 1392}; North America: United States: Arizona: Cochise: 2.2 mi (via AZ hwy 186) SE Wilcox: 4200 ft elev: 23 Mar 1985 - 26 Mar 1985; Charles J. Cole (JC 5100)","R",134998,"Aspidoscelis arizonae",NA,NA,NA,NA,"Female",NA,NA,"North America","United States","Arizona","Cochise",NA,"2.2 mi (via AZ hwy 186) SE Wilcox",NA,"4200 ft",1280,4200,NA,NA,NA,NA,NA,NA,NA,"Charles J. Cole",NA,1985-03-23,1985-03-26,NA,"USA: Arizona: Cochise: 2.2 mi (via AZ hwy 186) SE Wilcox, 4200 ft","No","JC 5100",NA,NA,NA,NA,NA,NA,NA,"FT 1392",113879,NA,NA
"9","R134999: Aspidoscelis arizonae; Teiidae; [Fluid] Corpus; [Tissue] {FT 1533, AMCC 104627, AMCC 113516}; North America: United States: Arizona: Cochise: 2.2 mi (via AZ hwy 186) SE Wilcox: 4200 ft elev: 23 Mar 1985 - 26 Mar 1985; Charles J. Cole (JC 5108)","R",134999,"Aspidoscelis arizonae",NA,NA,NA,NA,"Male",NA,NA,"North America","United States","Arizona","Cochise",NA,"2.2 mi (via AZ hwy 186) SE Wilcox",NA,"4200 ft",1280,4200,NA,NA,NA,NA,NA,NA,NA,"Charles J. Cole",NA,1985-03-23,1985-03-26,NA,"USA: Arizona: Cochise: 2.2 mi (via AZ hwy 186) SE Wilcox, 4200 ft","No","JC 5108",NA,NA,NA,NA,NA,NA,NA,"FT 1533, AMCC 104627, AMCC 113516",104627,NA,NA
"10","R135000: Aspidoscelis arizonae; Teiidae; [Fluid] Corpus; [Tissue] {FT 1525}; North America: United States: Arizona: Cochise: 2.2 mi (via AZ hwy 186) SE Wilcox: 4200 ft elev: 23 Mar 1985 - 26 Mar 1985; Charles J. Cole (JC 5109)","R",135000,"Aspidoscelis arizonae",NA,NA,NA,NA,"Male",NA,NA,"North America","United States","Arizona","Cochise",NA,"2.2 mi (via AZ hwy 186) SE Wilcox",NA,"4200 ft",1280,4200,NA,NA,NA,NA,NA,NA,NA,"Charles J. Cole",NA,1985-03-23,1985-03-26,NA,"USA: Arizona: Cochise: 2.2 mi (via AZ hwy 186) SE Wilcox, 4200 ft","No","JC 5109",NA,NA,NA,NA,NA,NA,NA,"FT 1525",113512,NA,NA
"11","R135001: Aspidoscelis arizonae; Teiidae; [Fluid] Corpus; [Tissue] {FT 1527}; North America: United States: Arizona: Cochise: 2.2 mi (via AZ hwy 186) SE Wilcox: 4200 ft elev: 23 Mar 1985 - 26 Mar 1985; Charles J. Cole (JC 5110)","R",135001,"Aspidoscelis arizonae",NA,NA,NA,NA,"Male",NA,NA,"North America","United States","Arizona","Cochise",NA,"2.2 mi (via AZ hwy 186) SE Wilcox",NA,"4200 ft",1280,4200,NA,NA,NA,NA,NA,NA,NA,"Charles J. Cole",NA,1985-03-23,1985-03-26,NA,"USA: Arizona: Cochise: 2.2 mi (via AZ hwy 186) SE Wilcox, 4200 ft","No","JC 5110",NA,NA,NA,NA,NA,NA,NA,"FT 1527",113514,NA,NA
"12","R135033: Aspidoscelis arizonae; Teiidae; [Fluid] Corpus; [Tissue] {FT 1497}; North America: United States: Arizona: Cochise: 2.2 mi (via AZ hwy 186) SE Wilcox: 4200 ft elev: 23 May 1985 - 26 May 1985; Charles J. Cole (JC 5111)","R",135033,"Aspidoscelis arizonae",NA,NA,NA,NA,"Female",NA,NA,"North America","United States","Arizona","Cochise",NA,"2.2 mi (via AZ hwy 186) SE Wilcox",NA,"4200 ft",1280,4200,NA,NA,NA,NA,NA,NA,NA,"Charles J. Cole",NA,1985-05-23,1985-05-26,NA,"USA: Arizona: Cochise: 2.2 mi (via AZ hwy 186) SE Wilcox, 4200 ft","No","JC 5111",NA,NA,NA,NA,NA,NA,NA,"FT 1497",113509,NA,NA
"13","R148217: Aspidoscelis arizonae; Teiidae; [Fluid] Corpus; [Tissue] {FT 2304}; North America: United States: Arizona: Cochise: 4.0 mi (by AZ hwy 186) SE Willcox: 4200 ft elev: 25 Jul 1996 - 25 Jul 1996; Charles J. Cole (JC 7181)","R",148217,"Aspidoscelis arizonae",NA,NA,NA,NA,"Female",NA,NA,"North America","United States","Arizona","Cochise",NA,"4.0 mi (by AZ hwy 186) SE Willcox",NA,"4200 ft",1280,4200,NA,NA,NA,NA,NA,NA,NA,"Charles J. Cole",NA,1996-07-25,1996-07-25,NA,"USA: Arizona: Cochise: 4.0 mi (by AZ hwy 186) SE Willcox, 4200 ft","No","JC 7181",NA,NA,NA,"Toe clip (LR-3)","Toe clip",NA,NA,"FT 2304",102037,NA,NA
"14","R148431: Aspidoscelis arizonae; Teiidae; [Fluid] Corpus; [Tissue] {FT 2354}; North America: United States: Arizona: Cochise: 4.0 mi (by AZ hwy 186) SE Willcox: 4200 ft elev: 30 Jul 1994 - 30 Jul 1994; Charles J. Cole (JC 7050)","R",148431,"Aspidoscelis arizonae",NA,NA,NA,NA,"Female",NA,NA,"North America","United States","Arizona","Cochise",NA,"4.0 mi (by AZ hwy 186) SE Willcox",NA,"4200 ft",1280,4200,NA,NA,NA,NA,NA,NA,NA,"Charles J. Cole",NA,1994-07-30,1994-07-30,NA,"USA: Arizona: Cochise: 4.0 mi (by AZ hwy 186) SE Willcox, 4200 ft","No","JC 7050",NA,NA,NA,NA,NA,NA,NA,"FT 2354",102036,NA,NA
"15","R153168: Aspidoscelis arizonae; Teiidae; [Fluid] Corpus; [Tissue] {JC8150}; North America: United States: Arizona: Cochise: 4.0 mi (by AZ hwy 186) SE Wilcox: 4200 ft elev: 7 Jul 2000 - 9 Jul 2000; Charles J. Cole & Carol R. Townsend (JC 8150)","R",153168,"Aspidoscelis arizonae",NA,NA,NA,NA,NA,NA,NA,"North America","United States","Arizona","Cochise",NA,"4.0 mi (by AZ hwy 186) SE Wilcox",NA,"4200 ft",1280,4200,NA,NA,NA,NA,NA,NA,NA,"Charles J. Cole & Carol R. Townsend",NA,2000-07-07,2000-07-09,NA,"USA: Arizona: Cochise: 4.0 mi (by AZ hwy 186) SE Wilcox, 4200 ft","No","JC 8150",NA,NA,NA,NA,NA,NA,NA,"JC8150",109694,NA,NA
"16","R148432: Aspidoscelis arizonae x tigris marmorata; Teiidae; [Fluid] Corpus; [Tissue] {FT 2351}; Captive Born: Captive Born: (Captive born in AMNH lizard colony)","R",148432,"Aspidoscelis arizonae x tigris marmorata",NA,NA,NA,NA,NA,NA,NA,"Captive Born","Captive Born",NA,NA,NA,"(Captive born in AMNH lizard colony)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Captive born","No",NA,NA,NA,NA,NA,NA,NA,NA,"FT 2351",102004,NA,NA
"17","R153157: Aspidoscelis arizonae x tigris marmorata; Teiidae; [Fluid] Corpus; [Microtechnique] (Karyotype); [Tissue] {JC8166}; Captive Born: Captive Born: Product of experimental cross (Captive born in AMNH lizard colony): (JC 8166)","R",153157,"Aspidoscelis arizonae x tigris marmorata",NA,NA,NA,NA,NA,NA,NA,"Captive Born","Captive Born",NA,NA,NA,"Product of experimental cross (Captive born in AMNH lizard colony)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Captive born","No","JC 8166","Karyotype","K",1825,NA,NA,NA,NA,"JC8166",109118,NA,NA
"18","R131434: Aspidoscelis burti burti; Teiidae; [Fluid] Corpus; [Microtechnique] (Karyotype); [Tissue] {FT 1671}; North America: Mexico: Sonora: Bahía de San Carlos: 20 Jul 1986 - 24 Jul 1986; Charles J. Cole & Carol R. Townsend (JC 5363)","R",131434,"Aspidoscelis burti burti",NA,NA,NA,NA,"Male",NA,NA,"North America","Mexico","Sonora",NA,NA,"Bahía de San Carlos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Charles J. Cole & Carol R. Townsend",NA,1986-07-20,1986-07-24,NA,"Mexico: Sonora: Bahía de San Carlos","No","JC 5363","Karyotype","KF",1077,NA,NA,NA,NA,"FT 1671",112647,NA,NA
"19","R131436: Aspidoscelis burti burti; Teiidae; [Fluid] Corpus; [Tissue] {FT 1693}; North America: Mexico: Sonora: Bahía de San Carlos: 20 Jul 1986 - 24 Jul 1986; Charles J. Cole & Carol R. Townsend (JC 5366)","R",131436,"Aspidoscelis burti burti",NA,NA,NA,NA,"Male",NA,NA,"North America","Mexico","Sonora",NA,NA,"Bahía de San Carlos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Charles J. Cole & Carol R. Townsend",NA,1986-07-20,1986-07-24,NA,"Mexico: Sonora: Bahía de San Carlos","No","JC 5366",NA,NA,NA,NA,NA,NA,NA,"FT 1693",112649,NA,NA
"20","R131437: Aspidoscelis burti stictogramma; Teiidae; [Fluid] Corpus; [Microtechnique] (Karyotype); [Tissue] {FT 1679}; North America: Mexico: Sonora: 15.4 mi (by Mex Hwy 2) ENE Imuris: 27 Jul 1986 - 27 Jul 1986; Charles J. Cole & Carol R. Townsend (JC 5378)","R",131437,"Aspidoscelis burti stictogramma",NA,NA,NA,NA,"Female",NA,NA,"North America","Mexico","Sonora",NA,NA,"15.4 mi (by Mex Hwy 2) ENE Imuris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Charles J. Cole & Carol R. Townsend",NA,1986-07-27,1986-07-27,NA,"Mexico: Sonora: 15.4 mi (by Mex Hwy 2) ENE Imuris","No","JC 5378","Karyotype","KF",1085,NA,NA,NA,NA,"FT 1679",113886,NA,NA
"21","R131438: Aspidoscelis burti stictogramma; Teiidae; [Fluid] Corpus; [Microtechnique] (Karyotype); [Tissue] {FT 1680}; North America: Mexico: Sonora: 15.4 mi (by Mex Hwy 2) ENE Imuris: 27 Jul 1986 - 27 Jul 1986; Charles J. Cole & Carol R. Townsend (JC 5379)","R",131438,"Aspidoscelis burti stictogramma",NA,NA,NA,NA,"Male",NA,NA,"North America","Mexico","Sonora",NA,NA,"15.4 mi (by Mex Hwy 2) ENE Imuris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Charles J. Cole & Carol R. Townsend",NA,1986-07-27,1986-07-27,NA,"Mexico: Sonora: 15.4 mi (by Mex Hwy 2) ENE Imuris","No","JC 5379","Karyotype","KF",1086,NA,NA,NA,NA,"FT 1680",112648,NA,NA
"22","R126765: Aspidoscelis burti stictogramma; Teiidae; [Fluid] Corpus; [Microtechnique] (Karyotype); [Tissue] {FT 408}; North America: United States: Arizona: Graham: Santa Teresa Mtns, 9 mi (airline) N Klondyke: 5400 ft elev: 29 May 1982 - 29 May 1982; Charles J. Cole (JC 4051)","R",126765,"Aspidoscelis burti stictogramma",NA,NA,NA,NA,NA,NA,NA,"North America","United States","Arizona","Graham",NA,"Santa Teresa Mtns, 9 mi (airline) N Klondyke",NA,"5400 ft",1646,5400,NA,NA,NA,NA,NA,NA,NA,"Charles J. Cole",NA,1982-05-29,1982-05-29,NA,"USA: Arizona: Graham: Santa Teresa Mtns, 9 mi (airline) N Klondyke, 5400 ft","No","JC 4051","Karyotype","KF",776,NA,NA,NA,NA,"FT 408",112618,NA,NA
"23","R126767: Aspidoscelis burti stictogramma; Teiidae; [Fluid] Corpus; [Tissue] {FT 474}; North America: United States: Arizona: Cochise: Bass Canyon, ca 0.5 mi from Hot Springs Canyon, 31.1 mi (by rd) WNW Willcox: 4100 ft elev: 14 Jul 1982 - 15 Jul 1982; Charles J. Cole (JC 4135)","R",126767,"Aspidoscelis burti stictogramma",NA,NA,NA,NA,NA,NA,NA,"North America","United States","Arizona","Cochise",NA,"Bass Canyon, ca 0.5 mi from Hot Springs Canyon, 31.1 mi (by rd) WNW Willcox",NA,"4100 ft",1250,4100,NA,NA,NA,NA,NA,NA,NA,"Charles J. Cole",NA,1982-07-14,1982-07-15,NA,"USA: Arizona: Cochise: Bass Canyon, ca 0.5 mi from Hot Springs Canyon, 31.1 mi (by rd) WNW Willcox, 4100 ft","No","JC 4135",NA,NA,NA,NA,NA,NA,NA,"FT 474",104638,NA,NA
"24","R126770: Aspidoscelis burti stictogramma; Teiidae; [Fluid] Corpus; [Tissue] {FT 477}; North America: United States: Arizona: Cochise: Bass Canyon, ca 0.5 mi from Hot Springs Canyon, 31.1 mi (by rd) WNW Willcox: 4100 ft elev: 14 Jul 1982 - 15 Jul 1982; Charles J. Cole (JC 4166)","R",126770,"Aspidoscelis burti stictogramma",NA,NA,NA,NA,NA,NA,NA,"North America","United States","Arizona","Cochise",NA,"Bass Canyon, ca 0.5 mi from Hot Springs Canyon, 31.1 mi (by rd) WNW Willcox",NA,"4100 ft",1250,4100,NA,NA,NA,NA,NA,NA,NA,"Charles J. Cole",NA,1982-07-14,1982-07-15,NA,"USA: Arizona: Cochise: Bass Canyon, ca 0.5 mi from Hot Springs Canyon, 31.1 mi (by rd) WNW Willcox, 4100 ft","No","JC 4166",NA,NA,NA,NA,NA,NA,NA,"FT 477",112620,NA,NA
"25","R126771: Aspidoscelis burti stictogramma; Teiidae; [Fluid] Corpus; [Tissue] {FT 569}; North America: United States: Arizona: Cochise: Bass Canyon, ca 0.5 mi from Hot Springs Canyon, 31.1 mi (by rd) WNW Willcox: 4100 ft elev: 11 Aug 1982 - 11 Aug 1982; Charles J. Cole (JC 4266)","R",126771,"Aspidoscelis burti stictogramma",NA,NA,NA,NA,NA,NA,NA,"North America","United States","Arizona","Cochise",NA,"Bass Canyon, ca 0.5 mi from Hot Springs Canyon, 31.1 mi (by rd) WNW Willcox",NA,"4100 ft",1250,4100,NA,NA,NA,NA,NA,NA,NA,"Charles J. Cole",NA,1982-08-11,1982-08-11,NA,"USA: Arizona: Cochise: Bass Canyon, ca 0.5 mi from Hot Springs Canyon, 31.1 mi (by rd) WNW Willcox, 4100 ft","No","JC 4266",NA,NA,NA,NA,NA,NA,NA,"FT 569",112621,NA,NA
"26","R126773: Aspidoscelis burti stictogramma; Teiidae; [Fluid] Corpus; [Tissue] {FT 571}; North America: United States: Arizona: Cochise: Bass Canyon, ca 0.5 mi from Hot Springs Canyon, 31.1 mi (by rd) WNW Willcox: 4100 ft elev: 11 Aug 1982 - 11 Aug 1982; Charles J. Cole (JC 4268)","R",126773,"Aspidoscelis burti stictogramma",NA,NA,NA,NA,NA,NA,NA,"North America","United States","Arizona","Cochise",NA,"Bass Canyon, ca 0.5 mi from Hot Springs Canyon, 31.1 mi (by rd) WNW Willcox",NA,"4100 ft",1250,4100,NA,NA,NA,NA,NA,NA,NA,"Charles J. Cole",NA,1982-08-11,1982-08-11,NA,"USA: Arizona: Cochise: Bass Canyon, ca 0.5 mi from Hot Springs Canyon, 31.1 mi (by rd) WNW Willcox, 4100 ft","No","JC 4268",NA,NA,NA,NA,NA,NA,NA,"FT 571",112622,NA,NA
"27","R126775: Aspidoscelis burti stictogramma; Teiidae; [Fluid] Corpus; [Tissue] {FT 573}; North America: United States: Arizona: Cochise: Bass Canyon, ca 0.5 mi from Hot Springs Canyon, 31.1 mi (by rd) WNW Willcox: 4100 ft elev: 11 Aug 1982 - 11 Aug 1982; Charles J. Cole (JC 4270)","R",126775,"Aspidoscelis burti stictogramma",NA,NA,NA,NA,NA,NA,NA,"North America","United States","Arizona","Cochise",NA,"Bass Canyon, ca 0.5 mi from Hot Springs Canyon, 31.1 mi (by rd) WNW Willcox",NA,"4100 ft",1250,4100,NA,NA,NA,NA,NA,NA,NA,"Charles J. Cole",NA,1982-08-11,1982-08-11,NA,"USA: Arizona: Cochise: Bass Canyon, ca 0.5 mi from Hot Springs Canyon, 31.1 mi (by rd) WNW Willcox, 4100 ft","No","JC 4270",NA,NA,NA,NA,NA,NA,NA,"FT 573",112623,NA,NA
"28","R126776: Aspidoscelis burti stictogramma; Teiidae; [Fluid] Corpus; [Tissue] {FT 847}; North America: United States: Arizona: Cochise: Bass Canyon, ca 0.5 mi from Hot Springs Canyon, 31.1 mi (by rd) WNW Willcox: 4100 ft elev: 24 Jul 1983 - 24 Jul 1983; Charles J. Cole (JC 4606)","R",126776,"Aspidoscelis burti stictogramma",NA,NA,NA,NA,NA,NA,NA,"North America","United States","Arizona","Cochise",NA,"Bass Canyon, ca 0.5 mi from Hot Springs Canyon, 31.1 mi (by rd) WNW Willcox",NA,"4100 ft",1250,4100,NA,NA,NA,NA,NA,NA,NA,"Charles J. Cole",NA,1983-07-24,1983-07-24,NA,"USA: Arizona: Cochise: Bass Canyon, ca 0.5 mi from Hot Springs Canyon, 31.1 mi (by rd) WNW Willcox, 4100 ft","No","JC 4606",NA,NA,NA,NA,NA,NA,NA,"FT 847",112626,NA,NA
"29","R126778: Aspidoscelis burti stictogramma; Teiidae; [Fluid] Corpus; [Tissue] {FT 849}; North America: United States: Arizona: Cochise: Bass Canyon, ca 0.5 mi from Hot Springs Canyon, 31.1 mi (by rd) WNW Willcox: 4100 ft elev: 25 Jul 1983 - 25 Jul 1983; Charles J. Cole (JC 4608)","R",126778,"Aspidoscelis burti stictogramma",NA,NA,NA,NA,NA,NA,NA,"North America","United States","Arizona","Cochise",NA,"Bass Canyon, ca 0.5 mi from Hot Springs Canyon, 31.1 mi (by rd) WNW Willcox",NA,"4100 ft",1250,4100,NA,NA,NA,NA,NA,NA,NA,"Charles J. Cole",NA,1983-07-25,1983-07-25,NA,"USA: Arizona: Cochise: Bass Canyon, ca 0.5 mi from Hot Springs Canyon, 31.1 mi (by rd) WNW Willcox, 4100 ft","No","JC 4608",NA,NA,NA,NA,NA,NA,NA,"FT 849",112627,NA,NA
"30","R126780: Aspidoscelis burti stictogramma; Teiidae; [Fluid] Corpus; [Tissue] {FT 851}; North America: United States: Arizona: Cochise: Bass Canyon, ca 0.5 mi from Hot Springs Canyon, 31.1 mi (by rd) WNW Willcox: 4100 ft elev: 25 Jul 1983 - 25 Jul 1983; Charles J. Cole (JC 4610)","R",126780,"Aspidoscelis burti stictogramma",NA,NA,NA,NA,NA,NA,NA,"North America","United States","Arizona","Cochise",NA,"Bass Canyon, ca 0.5 mi from Hot Springs Canyon, 31.1 mi (by rd) WNW Willcox",NA,"4100 ft",1250,4100,NA,NA,NA,NA,NA,NA,NA,"Charles J. Cole",NA,1983-07-25,1983-07-25,NA,"USA: Arizona: Cochise: Bass Canyon, ca 0.5 mi from Hot Springs Canyon, 31.1 mi (by rd) WNW Willcox, 4100 ft","No","JC 4610",NA,NA,NA,NA,NA,NA,NA,"FT 851",112628,NA,NA
"31","R126782: Aspidoscelis burti stictogramma; Teiidae; [Fluid] Corpus; [Tissue] {FT 853}; North America: United States: Arizona: Cochise: Bass Canyon, ca 0.5 mi from Hot Springs Canyon, 31.1 mi (by rd) WNW Willcox: 4100 ft elev: 25 Jul 1983 - 25 Jul 1983; Charles J. Cole (JC 4612)","R",126782,"Aspidoscelis burti stictogramma",NA,NA,NA,NA,NA,NA,NA,"North America","United States","Arizona","Cochise",NA,"Bass Canyon, ca 0.5 mi from Hot Springs Canyon, 31.1 mi (by rd) WNW Willcox",NA,"4100 ft",1250,4100,NA,NA,NA,NA,NA,NA,NA,"Charles J. Cole",NA,1983-07-25,1983-07-25,NA,"USA: Arizona: Cochise: Bass Canyon, ca 0.5 mi from Hot Springs Canyon, 31.1 mi (by rd) WNW Willcox, 4100 ft","No","JC 4612",NA,NA,NA,NA,NA,NA,NA,"FT 853",112629,NA,NA
"32","R129154: Aspidoscelis costata griseocephala (Zweifel, 1959); Teiidae; [Fluid] Corpus; [Tissue] {FT 1604}; North America: Mexico: Sonora: 15.2 mi (by rd to Alamos) ESE Navojoa: 18 Jun 1985 - 18 Jun 1985; Charles J. Cole & Carol R. Townsend (JC 5155)","R",129154,"Aspidoscelis costata griseocephala (Zweifel, 1959)",NA,NA,NA,NA,NA,NA,NA,"North America","Mexico","Sonora",NA,NA,"15.2 mi (by rd to Alamos) ESE Navojoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Charles J. Cole & Carol R. Townsend",NA,1985-06-18,1985-06-18,NA,"Mexico: Sonora: 15.2 mi (by rd to Alamos) ESE Navojoa","No","JC 5155",NA,NA,NA,NA,NA,NA,NA,"FT 1604",112084,NA,NA
"33","R129155: Aspidoscelis costata griseocephala (Zweifel, 1959); Teiidae; [Fluid] Corpus; [Tissue] {FT 1605}; North America: Mexico: Sonora: 15.2 mi (by rd to Alamos) ESE Navojoa: 18 Jun 1985 - 18 Jun 1985; Charles J. Cole & Carol R. Townsend (JC 5156)","R",129155,"Aspidoscelis costata griseocephala (Zweifel, 1959)",NA,NA,NA,NA,NA,NA,NA,"North America","Mexico","Sonora",NA,NA,"15.2 mi (by rd to Alamos) ESE Navojoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Charles J. Cole & Carol R. Townsend",NA,1985-06-18,1985-06-18,NA,"Mexico: Sonora: 15.2 mi (by rd to Alamos) ESE Navojoa","No","JC 5156",NA,NA,NA,NA,NA,NA,NA,"FT 1605",112087,NA,NA
"34","R131439: Aspidoscelis costata griseocephala (Zweifel, 1959); Teiidae; [Fluid] Corpus; [Microtechnique] (Karyotype); [Tissue] {FT 1667}; North America: Mexico: Sonora: El Caracol Trailer Park, 9 mi (by Sonora Hwy 001) WNW Alamos: 22 Jul 1986 - 23 Jul 1986; Charles J. Cole & Carol R. Townsend (JC 5370)","R",131439,"Aspidoscelis costata griseocephala (Zweifel, 1959)",NA,NA,NA,NA,"Male",NA,NA,"North America","Mexico","Sonora",NA,NA,"El Caracol Trailer Park, 9 mi (by Sonora Hwy 001) WNW Alamos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Charles J. Cole & Carol R. Townsend",NA,1986-07-22,1986-07-23,NA,"Mexico: Sonora: El Caracol Trailer Park, 9 mi (by Sonora Hwy 001) WNW Alamos","No","JC 5370","Karyotype","KF",1073,NA,NA,NA,NA,"FT 1667",112089,NA,NA
