"","ID","...2","...3","Colector","# colector","Especie","Subespecie","Type loc","Clado","Estado","Municipio","Localidad","Latitud","Longitud","Elevación","Sexo","Edad","ExtractionLibro","ExtractionSample","Box","Cell","Q hmw","Q deg","Photo","Vol","ng/μl","ul p/500 ng","Comentarios","Status","Sample","...31"
"48",25,"√",NA,"ANMO","3031","alpina",NA,NA,"alpina2","Puebla","Tepanco de López","Aprox 1.5 km SO de San Luis Temalacayuca","18.590859999999999","-97.540120000000002","1900","Macho","Subadulto","A5","14.2",1,"H5","Low","Low","25","20","50.8",9.84251968503937,NA,"R*","Extraction",NA
"49",25,NA,NA,"ANMO","3031","alpina",NA,NA,"alpina2","Puebla","Tepanco de López","Aprox 1.5 km SO de San Luis Temalacayuca","18.590859999999999","-97.540120000000002","1900","Macho","Subadulto",NA,NA,3,"C8",NA,NA,NA,NA,NA,NA,NA,"superfluous bkp","Tissue",NA
"50",26,"√",NA,"OHG","19","alpina",NA,NA,"alpina2","Puebla","Tlacotepec de Benito Juárez","?","18.687384000000002","-97.661300999999995","?","Macho","Adulto","A5","95.6",1,"G7","Low","Low","26","20","55.6",8.99280575539568,NA,"R","Extraction",NA
"51",26,NA,NA,"OHG","22","alpina",NA,NA,"alpina2","Puebla","Tlacotepec de Benito Juárez","?","18.687384000000002","-97.661300999999995","?","Hembra","Adulto",NA,NA,3,"C9",NA,NA,NA,NA,NA,NA,NA,NA,"Tissue",NA
"52",27,"√",NA,"ANMO","3864","costata","costata",NA,"costata3","Oaxaca","Santiago Tamazola","2.6 km (en línea recta) NE Santiago Tamazola","17.71265","-98.206069999999997","1629","Macho","Subadulto","A6","B60.6",1,"I5","Low","Intermediate","27","20","43.8",11.4155251141553,NA,"R*","Extraction",NA
"53",27,"√",NA,"ANMO","3867","costata","costata",NA,"costata3","Oaxaca","Santiago Tamazola","5.0 km (en línea recta) NE Santiago Tamazola","17.71265","-98.206069999999997","1629","Hembra","Subadulto",NA,NA,1,"D3","High","Low","UH2","50","83.4",5.99520383693046,NA,"R","Extraction",NA
"54",28,"√",NA,"UOGV","1123","costata","costata",NA,"costata3","Oaxaca","Zapotitlán Palmas","Km. 123 Carr. Huajapan de León-Izucar de Matamoros, Caseta de inspeccion fitozoosanitaria","17.886638888888889","-97.842555555555549","1858","Hembra","Adulto","A5","15.11",2,"B1","Intermediate","High","28","150","40.6",12.3152709359606,NA,"R*","Extraction",NA
"55",28,NA,NA,"UOGV","1123","costata","costata",NA,"costata3","Oaxaca","Zapotitlán Palmas","Km. 123 Carr. Huajapan de León-Izucar de Matamoros, Caseta de inspeccion fitozoosanitaria","17.886638888888889","-97.842555555555549","1858","Hembra","Adulto",NA,NA,3,"D1",NA,NA,NA,NA,NA,NA,NA,"superfluous bkp","Tissue",NA
"56",29,"√",NA,"ANMO","3263","costata","costata",NA,"costata3","Guerrero","Atlixtac","Alrededores de Tlatlauquiltepec","17.552611111111101","-98.826277777777776","2144","Hembra","Subadulto","A5","4.12",1,"I2","High","High","29","100","44.8",11.1607142857143,NA,"R*","Extraction",NA
"57",29,NA,NA,"ANMO","3263","costata","costata",NA,"costata3","Guerrero","Atlixtac","Alrededores de Tlatlauquiltepec","17.552611111111101","-98.826277777777776","2144","Hembra","Subadulto",NA,NA,3,"D2",NA,NA,NA,NA,NA,NA,NA,"superfluous bkp","Tissue",NA
"58",30,"√",NA,"ANMO","3057","costata","costata",NA,"costata5","Guerrero","Tixtla de Guerrero","Sobre carretera Chilpancingo-Chilacayapa","17.58653","-99.38467","1388","Macho","Adulto",NA,NA,1,"G3","High","No","UH1","98","60.6",8.25082508250825,NA,"R","Extraction",NA
"59",30,"√",NA,"ANMO","3058","costata","costata",NA,"costata5","Guerrero","Tixtla de Guerrero","Sobre carretera Chilpancingo-Chilacayapa","17.58653","-99.38467","1388","Hembra","Adulto","A5","3.1",1,"I9","High","High","30","600","42.8",11.6822429906542,NA,"R*","Extraction",NA
"60",31,"√",NA,"ANMO","3648","costata","costata",NA,"costata5","Guerrero","Olinalá","Terraceria hacia Tecolapa, aprox. 0.66 km de la carretera Olinalá-Papalutla","18.000777777777778","-98.836222222222219","1540","Macho","Adulto",NA,NA,1,"D4","High","No","add","15-20","82.4",6.06796116504854,NA,"R","Extraction",NA
"61",31,"√",NA,"ISZ","961","costata","costata",NA,"costata5","Guerrero","Olinalá","Terraceria hacia Tecolapa, aprox. 0.8 km de la carretera Olinalá-Papalutla","18.002611111111111","-98.836194444444445","1530","Hembra","Adulto","A5","89.5",2,"B2","Low","No","31","25","40.6",12.3152709359606,NA,"R","Extraction",NA
"62",32,NA,NA,"MZFC","14154","alpina",NA,"√","alpina1","Puebla","Tepeyahualco","Lago Alchichica","19.413967","-97.415718999999996",NA,"?","?","Sandra",NA,NA,NA,"No","High","32","20","20.2",24.7524752475248,NA,"Bad","Extraction",NA
"63",32,NA,NA,"MZFC","14154","alpina",NA,"√","alpina1","Puebla","Tepeyahualco","Lago Alchichica","19.413967","-97.415718999999996",NA,"?","?",NA,NA,NA,NA,"No","Low","UH1","98",NA,NA,NA,"Bad","Extraction",NA
"64",33,"√",NA,"ANMO","2120","alpina",NA,NA,"alpina1","Tlaxcala","Natívitas","Cacaxtla","19.24775","-98.333111111111108","2316","Macho","Subadulto","A5","23.8",2,"C1","Intermediate","Intermediate","33","100","36.6",13.6612021857923,NA,"R*","Extraction",NA
"65",33,"√",NA,"ANMO","2121","alpina",NA,NA,"alpina1","Tlaxcala","Natívitas","Cacaxtla","19.24775","-98.333111111111108","2316","Macho","Subadulto",NA,NA,2,"D9","High","No","UH1","85","28.6",17.4825174825175,NA,"R","Extraction",NA
"66",34,"√",NA,"ANMO","3796","alpina",NA,NA,"alpina1","Puebla","Tehuitzingo","Puente Río Atoyac","18.387129999999999","-98.305880000000002","989","Macho","Adulto","A6","B60.11",2,"D7","High","No","34","250","30",16.6666666666667,NA,"R","Extraction",NA
"67",34,NA,NA,"ANMO","3796","alpina",NA,NA,"alpina1","Puebla","Tehuitzingo","Puente Río Atoyac","18.387129999999999","-98.305880000000002","989","Macho","Adulto",NA,NA,3,"D3",NA,NA,NA,NA,NA,NA,NA,"superfluous bkp","Tissue",NA
"68",35,NA,NA,"ANMO","2083","alpina",NA,NA,"alpina1","Puebla","Tepexco","Carr. Cuautla-Izucar de Matamoros","18.646222222222221","-98.672944444444454","1377","?",NA,"A5","14.4",NA,NA,"No","No","35","110","3.22",155.27950310559,NA,"Bad","Extraction",NA
"69",35,NA,NA,"ANMO","2083","alpina",NA,NA,"alpina1","Puebla","Tepexco","Carr. Cuautla-Izucar de Matamoros","18.646222222222221","-98.672944444444454","1377","?",NA,NA,NA,3,"D4",NA,NA,NA,NA,NA,NA,NA,NA,"Tissue",NA
"70",36,NA,NA,"ISZ","461","costata","costata","√","costata1","Morelos","Emiliano Zapata","Residencial Las Gaviotas","18.835311000000001","-99.187531000000007","1229","Macho","Adulto",NA,NA,3,"D5","No","Intermediate","pend","98",NA,NA,NA,"Bad","Extraction",NA
"71",36,NA,NA,"ISZ","461","costata","costata","√","costata1","Morelos","Emiliano Zapata","Residencial Las Gaviotas","18.835311000000001","-99.187531000000007","1229","Macho","Adulto","A7","C30.5",NA,NA,"No","No","36","250","1.32",378.787878787879,NA,"Bad","Extraction",NA
"72",37,"√",NA,"UOGV","1446","costata","costata",NA,"costata1","Morelos","Yautepec","Ejido Corral Grande","18.93375","-98.973166666666671","1526","?","?","Sandra",NA,1,"C8","High","Intermediate","37","25","92",5.43478260869565,NA,"R*","Extraction",NA
"73",37,NA,NA,"UOGV","1446","costata","costata",NA,"costata1","Morelos","Yautepec","Ejido Corral Grande","18.93375","-98.973166666666671","1526","?","?",NA,NA,3,"D6",NA,NA,NA,NA,NA,NA,NA,"superfluous bkp","Tissue",NA
"74",38,"√",NA,"ANMO","2915","costata","costata",NA,"costata1","Morelos","Mazatepec","Orillas SE de Mazatepec, lado de un rio","18.720638888888899","-99.357749999999996","962","Macho","Joven","A5","3.9",1,"A9","High","Intermediate","38","110","110",4.54545454545455,NA,"R*","Extraction",NA
"75",38,"√",NA,"ANMO","2916","costata","costata",NA,"costata1","Morelos","Mazatepec","Orillas SE de Mazatepec, lado de un rio","18.720638888888899","-99.357749999999996","962","Macho","Joven",NA,NA,1,"D8","High","Low","UH2","99","80.2",6.23441396508728,NA,"R","Extraction",NA
