"","ID","...2","...3","Colector","# colector","Especie","Subespecie","Type loc","Clado","Estado","Municipio","Localidad","Latitud","Longitud","Elevación","Sexo","Edad","ExtractionLibro","ExtractionSample","Box","Cell","Q hmw","Q deg","Photo","Vol","ng/μl","ul p/500 ng","Comentarios","Status","Sample","...31"
"110",56,NA,NA,"JCAM","27","costata","occidentalis",NA,"occidentalis1","Jalisco","Tapalpa","5.9 km NE Tapalpa","19.979500000000002","-103.786472","2186","Hembra","Adulto","A7","C31.4",NA,NA,"No","Low","56","250","0.2",2500,NA,"Bad","Extraction",NA
"111",56,NA,NA,"JCAM","27","costata","occidentalis",NA,"occidentalis1","Jalisco","Tapalpa","5.9 km NE Tapalpa","19.979500000000002","-103.786472","2186","Hembra","Adulto",NA,NA,3,"E9",NA,NA,NA,NA,NA,NA,NA,NA,"Tissue",NA
"112",57,"√",NA,"UOGV","2141","costata","occidentalis",NA,"occidentalis2","Jalisco","Ixtlahuacán del Río","Ixtlahuacán del Río","20.943472222222223","-103.46644444444445","1643","Macho","Jóven","A5","89.9",2,"C8","Low","Low","57","25","34.200000000000003",14.6198830409357,NA,"R","Extraction",NA
"113",57,NA,NA,"UOGV","2141","costata","occidentalis",NA,"occidentalis2","Jalisco","Ixtlahuacán del Río","Ixtlahuacán del Río","20.943472222222223","-103.46644444444445","1643","Macho","Jóven",NA,NA,3,"F1",NA,NA,NA,NA,NA,NA,NA,"superfluous bkp","Tissue",NA
"114",58,"√",NA,"ANMO","3786","costata","occidentalis","√","occidentalis2","Nayarit","Ixtlán del Río","Ixtlan del Rio","21.03492","-104.36732000000001","1041",NA,"Jóven","A6","B19.12",2,"B9","Low","Low","58","25","36.799999999999997",13.5869565217391,NA,"R","Extraction",NA
"115",58,NA,NA,"ANMO","3786","costata","occidentalis","√","occidentalis2","Nayarit","Ixtlán del Río","Ixtlan del Rio","21.03492","-104.36732000000001","1041",NA,"Jóven",NA,NA,3,"F2",NA,NA,NA,NA,NA,NA,NA,"superfluous bkp","Tissue",NA
"116",59,"√",NA,"JAC","30211","costata","occidentalis",NA,"occidentalis2","Nayarit","Amatlán de Cañas","Road S from Barranca del Oro; stream under Puente el Barranqueno","20.92267","-104.47967","714","?",NA,NA,NA,1,"F4","High","Low","UH2","20","64.8",7.71604938271605,NA,"R","Extraction",NA
"117",59,NA,NA,"JAC","30211","costata","occidentalis",NA,"occidentalis2","Nayarit","Amatlán de Cañas","Road S from Barranca del Oro; stream under Puente el Barranqueno","20.92267","-104.47967","714","?",NA,"A5","8.3000000000000007",NA,NA,"No","Low","59","120","1.39",359.712230215827,NA,"Bad","Extraction",NA
"118",60,"√",NA,"ANMO","1211","costata","mazatlanensis",NA,"mazatlanensis","Sinaloa","Mazatlán","El Potrero de Carrasco, aprox 16 km N Mazatlán","23.3891666666667","-106.44388888888889","41",NA,"Cría",NA,NA,2,"F8","High","Intermediate","pend","146","39",12.8205128205128,NA,"R*","Extraction",NA
"119",60,"√",NA,"ANMO","3748","costata","mazatlanensis",NA,"mazatlanensis","Sinaloa","Mazatlán","Carr. Mazatlan-El Quelite, Arroyo San Pablo","23.4453","-106.4662","39",NA,"Jóven","A6","B19.1",2,"E8","Low","No","60","25","25",20,NA,"R","Extraction",NA
"120",61,"√",NA,"UOGV","1302","costata","mazatlanensis",NA,"mazatlanensis","Sinaloa","Badiraguato","Carr. Pericos-Santiago de los Caballeros","25.457527777777777","-107.52905555555556","360","Macho","Adulto","A5","50.9",2,"B4","Intermediate","Intermediate","61","100","39.799999999999997",12.5628140703518,NA,"R*","Extraction",NA
"121",61,NA,NA,"UOGV","1302","costata","mazatlanensis",NA,"mazatlanensis","Sinaloa","Badiraguato","Carr. Pericos-Santiago de los Caballeros","25.457527777777777","-107.52905555555556","360","Macho","Adulto",NA,NA,3,"F4",NA,NA,NA,NA,NA,NA,NA,"superfluous bkp","Tissue",NA
"122",62,"√",NA,"ANMO","4104","costata","mazatlanensis",NA,"mazatlanensis","Sinaloa","Guasave","Guasave, Río Sinaloa","25.576599999999999","-108.44835999999999","22","Macho","Adulto","A7","C28.19",1,"I7","Intermediate","Intermediate","62","25","43.4",11.5207373271889,NA,"R*","Extraction",NA
"123",62,NA,NA,"ANMO","4103","costata","mazatlanensis",NA,"mazatlanensis","Sinaloa","Guasave","Guasave, Río Sinaloa","25.576599999999999","-108.44835999999999","22","Macho","Adulto",NA,NA,3,"F5",NA,NA,NA,NA,NA,NA,NA,NA,"Tissue",NA
"124",63,"√",NA,"ANMO","4101","costata","mazatlanensis",NA,"mazatlanensis","Sinaloa","Angostura","Carr. Culiacan-Guasave","25.251740000000002","-108.04224000000001","47","Macho","Adulto","A7","C28.18",1,"F3","High","Low","63","250","67",7.46268656716418,NA,"R","Extraction",NA
"125",63,NA,NA,"ANMO","4101","costata","mazatlanensis",NA,"mazatlanensis","Sinaloa","Angostura","Carr. Culiacan-Guasave","25.251740000000002","-108.04224000000001","47","Macho","Adulto",NA,NA,3,"F6",NA,NA,NA,NA,NA,NA,NA,"superfluous bkp","Tissue",NA
"126",64,"√",NA,"ANMO","4093","costata","mazatlanensis",NA,"mazatlanensis","Sinaloa","Mazatlán","Siqueros","23.348096999999999","-106.24715399999999","54","Macho","Adulto","A7","C28.16",2,"B3","High","No","64","250","40.200000000000003",12.4378109452736,NA,"R","Extraction",NA
"127",64,NA,NA,"ANMO","4094","costata","mazatlanensis",NA,"mazatlanensis","Sinaloa","Mazatlán","Siqueros","23.348096999999999","-106.24715399999999","54","Macho","Adulto",NA,NA,3,"F7",NA,NA,NA,NA,NA,NA,NA,NA,"Tissue",NA
"128",65,"√",NA,"ANMO","4098","costata","nigrigularis","√","nigrigularis","Sinaloa","Culiacán","2.2 km NE de la Campana","25.005669999999999","-107.55267000000001","129","Macho","Adulto","A7","C28.17",1,"H1","Low","No","65","20","54.4",9.19117647058824,NA,"R","Extraction",NA
"129",65,"√",NA,"ANMO","4100","costata","nigrigularis",NA,"nigrigularis","Sinaloa","Culiacán","2.2 km NE de la Campana","25.005669999999999","-107.55267000000001","129","Macho","Adulto",NA,NA,2,"F6","Low","No","UH1","80","24.4",20.4918032786885,"concentration after genomiphied","G","Extraction",NA
"130",66,"√",NA,"UOGV","1305","costata","nigrigularis",NA,"nigrigularis","Sinaloa","Badiraguato","Carr. Badiraguato-Surutato, entre Sitio de en medio y Surutato","25.581888888888887","-107.57886111111111","519","Hembra","Adulto","A5","50.8",1,"D1","High","High","66","180","87.8",5.69476082004556,NA,"R","Extraction",NA
"131",66,NA,NA,"UOGV","1305","costata","nigrigularis",NA,"nigrigularis","Sinaloa","Badiraguato","Carr. Badiraguato-Surutato, entre Sitio de en medio y Surutato","25.581888888888887","-107.57886111111111","519","Hembra","Adulto",NA,NA,3,"F8",NA,NA,NA,NA,NA,NA,NA,"superfluous bkp","Tissue",NA
"132",67,"√",NA,"ANMO","4102","costata","nigrigularis",NA,"nigrigularis","Sinaloa","Guasave","Guasave, Río Sinaloa","25.576599999999999","-108.44835999999999","22","Macho","Adulto",NA,NA,1,"H2","High","Low","UH1","45","52",9.61538461538461,NA,"R","Extraction",NA
"133",67,"√",NA,"ANMO","4105","costata","nigrigularis",NA,"nigrigularis","Sinaloa","Guasave","Guasave, Rio Sinaloa","25.576599999999999","-108.44835999999999","22","Macho","Adulto","A7","C28.20",1,"G5","High","Low","67","250","59",8.47457627118644,NA,"R","Extraction",NA
"134",68,"√",NA,"ECA","546","costata","nigrigularis",NA,"nigrigularis","Durango","Tamazula","3.3 km SW (en línea recta) de Coacoyote, Tamazula","24.491582999999999","-106.6035","691",NA,"Cría",NA,NA,1,"F5","High","Low","UH1","20","64.599999999999994",7.73993808049536,NA,"R*","Extraction",NA
"135",68,NA,NA,"ECA","544","costata","nigrigularis",NA,"nigrigularis","Sinaloa","Cosalá","Cerro San Rafael, 9.8 km NE (en línea recta) de la cabecera municipal de Cosalá","24.488111","-106.639278","630",NA,"Cría","A5","50.3",NA,NA,"No","No","68","150","2.38",210.084033613445,NA,"Bad","Extraction",NA
"136",69,"√",NA,"ANMO","4065","costata","huico",NA,"huico","Sinaloa","Concordia","Santa Lucia","23.417459999999998","-105.86532","1226","Hembra","Adulto","A6","B60.15",2,"E2","High","No","69","240","27.2",18.3823529411765,NA,"R","Extraction",NA
"137",69,NA,NA,"ANMO","4065","costata","huico",NA,"huico","Sinaloa","Concordia","Santa Lucia","23.417459999999998","-105.86532","1226","Hembra","Adulto",NA,NA,3,"F9",NA,NA,NA,NA,NA,NA,NA,"superfluous bkp","Tissue",NA
"138",70,"√",NA,"ISZ","653","costata","huico",NA,"huico","Nayarit","Compostela","Mesillas, aprox. 6.5 km al S de Las Varas","21.125499999999999","-105.16808","70","Macho","Adulto","A5","3.1",1,"C1","High","High","70","90","102",4.90196078431373,NA,"R*","Extraction",NA
"139",70,NA,NA,"ISZ","664","costata","huico",NA,"huico","Nayarit","Compostela","Mesillas, aprox. 15 km al E de Las Varas","21.221215000000001","-105.015072","436","Macho","Adulto",NA,NA,3,"G1",NA,NA,NA,NA,NA,NA,NA,NA,"Tissue",NA
"140",71,"√",NA,"ANMO","3782","costata","huico","√","huico","Nayarit","Ruíz","Peñitas, Rio San Pedro","21.951000000000001","-105.22069999999999","24","Macho","Adulto","A6","B60.13",2,"A9","Low","Low","71","20","41.2",12.1359223300971,NA,"R*","Extraction",NA
"141",71,"√",NA,"ANMO","3783","costata","huico",NA,"huico","Nayarit","Ruíz","Peñitas, Rio San Pedro","21.951000000000001","-105.22069999999999","24","Hembra","Adulto",NA,NA,1,"G4","High","Low","UH2","20","60",8.33333333333333,NA,"R","Extraction",NA
"142",72,"√",NA,"ANMO","4091","costata","huico",NA,"huico","Sinaloa","Mazatlán","Siqueros","23.34628","-106.24372","33","Macho","Adulto","A6","B60.8",2,"D3","Intermediate","Low","72","90","32.799999999999997",15.2439024390244,NA,"R","Extraction",NA
"143",72,NA,NA,"ANMO","4092","costata","huico",NA,"huico","Sinaloa","Mazatlán","Siqueros","23.34628","-106.24372","33","Macho","Adulto",NA,NA,3,"G2",NA,NA,NA,NA,NA,NA,NA,NA,"Tissue",NA
"144",73,NA,NA,"No.","156","costata","huico",NA,NA,"Nayarit",NA,"Isla Isabel","21.844004999999999","-105.884873","?","?",NA,"A7","C30.8",NA,NA,"No","No","73","250","2.42",206.611570247934,NA,"Bad","Extraction",NA
"145",73,NA,NA,"No Acceso","156","costata","huico",NA,NA,"Nayarit",NA,"Isla Isabel","21.844004999999999","-105.884873","?","?",NA,NA,NA,3,"A1",NA,NA,NA,NA,NA,NA,NA,NA,"Tissue",NA
"146",74,"√",NA,"UOGV","1321","costata","griseocephala",NA,"griseocephala2","Sonora","Alamos","Carr. Los Alamos-Los Tanques","27.158999999999999","-108.96222222222222","205","Macho","Adulto","A5","89.7",1,"C3","Intermediate","Low","74","150","100",5,NA,"R*","Extraction",NA
"147",74,NA,NA,"UOGV","1322","costata","griseocephala",NA,"griseocephala2","Sonora","Alamos","Carr. Los Alamos-Los Tanques","27.158999999999999","-108.96222222222222","205","?",NA,NA,NA,3,"A2",NA,NA,NA,NA,NA,NA,NA,NA,"Tissue",NA
"148",75,"√",NA,"ANMO","4109","costata","griseocephala",NA,"griseocephala2","Sinaloa","El Fuerte","Carr. Los Mochis-El Fuerte, Sibahahuy","26.096129999999999","-108.75175","72","Hembra","Adulto",NA,NA,2,"F7","High","Low","pend","116","38",13.1578947368421,NA,"R","Extraction",NA
"149",75,"√",NA,"ANMO","4110","costata","griseocephala",NA,"griseocephala2","Sinaloa","El Fuerte","Carr. Los Mochis-El Fuerte, Sibahahuy","26.096129999999999","-108.75175","72","Macho","Adulto","A7","C30.1",1,"D6","High","No","75","250","81.2",6.1576354679803,NA,"R","Extraction",NA
"150",76,"√",NA,"ANMO","4118","costata","griseocephala",NA,"griseocephala2","Sonora","Alamos","Rio Juchijaqui","26.853590000000001","-108.96451999999999","320","Macho","Adulto","A7","C30.2",2,"A3","High","Low","76","250","42.2",11.8483412322275,NA,"R","Extraction",NA
"151",76,NA,NA,"ANMO","4119","costata","griseocephala",NA,"griseocephala2","Sonora","Alamos","Rio Juchijaqui","26.853590000000001","-108.96451999999999","320","Macho","Subadulto",NA,NA,3,"A4",NA,NA,NA,NA,NA,NA,NA,NA,"Tissue",NA
"152",77,"√",NA,"ANMO","3769","costata","griseocephala",NA,"griseocephala2","Sinaloa","Navojoa","Jusibampo","27.069929999999999","-109.26976000000001","136",NA,"Jóven",NA,NA,1,"D5","High","Low","UH2","20","82.2",6.08272506082725,NA,"R","Extraction",NA
"153",77,"√",NA,"ANMO","3770","costata","griseocephala","√","griseocephala2","Sinaloa","Navojoa","Jusibampo","27.069929999999999","-109.26976000000001","136","Hembra","Jóven","A7","C28.12",2,"D8","Intermediate","Low","77","250","29.8",16.7785234899329,NA,"R","Extraction",NA
"154",78,"√",NA,"ANMO","3759","costata","griseocephala",NA,"griseocephala2","Sonora","Huatabampo","Agiabampo 2, Rio el Chilicote","26.320979999999999","-109.09316","34","Macho","Jóven","A7","C28.11",2,"B8","Low","No","78","19","37.200000000000003",13.4408602150538,NA,"R","Extraction",NA
"155",78,NA,NA,"ANMO","3759","costata","griseocephala",NA,"griseocephala2","Sonora","Huatabampo","Agiabampo 2, Rio el Chilicote","26.320979999999999","-109.09316","34","Macho","Jóven",NA,NA,3,"A5",NA,NA,NA,NA,NA,NA,NA,"superfluous bkp","Tissue",NA
"156",79,NA,NA,"ISZ","723","costata","barrancorum1",NA,"barrancorum1","Chihuahua","Urique","180 m al S del campamento minero Bahuerachi","27.00658","-108.12708000000001","1035","Hembra","Subadulto","A5","4.0999999999999996",NA,NA,"No","No","79","100","3.74",133.689839572193,NA,"Bad","Extraction",NA
"157",79,NA,NA,"ISZ","723","costata","barrancorum1",NA,"barrancorum1","Chihuahua","Urique","180 m al S del campamento minero Bahuerachi","27.00658","-108.12708000000001","1035","Hembra","Subadulto",NA,NA,3,"A6",NA,NA,NA,NA,NA,NA,NA,NA,"Tissue",NA
"158",80,"√",NA,"ANMO","4155","costata","barrancorum4",NA,"barrancorum4","Sonora","Yécora","Carr. 16. Yecora-Cuauhtemoc, Km 300-302, Los Pilares","28.39348","-108.79783","1618","Macho","Adulto","A7","C30.3",2,"F2","High","No","80","250","23.6",21.1864406779661,NA,"R","Extraction",NA
"159",80,NA,NA,"ANMO","4155","costata","barrancorum4",NA,"barrancorum4","Sonora","Yécora","Carr. 16. Yecora-Cuauhtemoc, Km 300-302, Los Pilares","28.39348","-108.79783","1618","Macho","Adulto",NA,NA,3,"A7",NA,NA,NA,NA,NA,NA,NA,"superfluous bkp","Tissue",NA
"160",81,"√",NA,"ANMO","3767","burti",NA,NA,NA,"Sonora","Guaymas","Microondas el Vigia, Guaymas","27.953720000000001","-110.89934","233",NA,"Jóven","A6","B19.6",2,"A2","High","Intermediate","81","20","42.4",11.7924528301887,NA,"R","Extraction",NA
"161",81,NA,NA,"UOGV","2566","burti",NA,NA,NA,"Sonora","Guaymas","Sierra del Aguaje, Cañon del Nacapule","28.01567","-111.04944999999999","121","Macho","?",NA,NA,3,"A8",NA,NA,NA,NA,NA,NA,NA,NA,"Tissue",NA
"162",82,"√",NA,"UOGV","2567","burti",NA,"√",NA,"Sonora","Guaymas","Sierra del Aguaje, Cañon del Nacapule","28.01567","-111.04944999999999","121","Macho","Adulto","A7","C28.6",1,"F1","High","Low","82","250","68.8",7.26744186046512,NA,"R","Extraction",NA
"163",82,"√",NA,"ANMO","1422","inornata","paulula?",NA,NA,"Durango","Lerdo","Carr. La Union-Cuencame; 5 km. E de Diego, 8.6 km. E de Carr. 40, 25.4 km. SW de Nazareno","25.217611111111111","-103.56069444444444","1265","?",NA,NA,NA,2,"E9","High","No","UH1","45","23.8",21.0084033613445,NA,"R","Extraction",NA
"164",83,"√",NA,"ANMO","1413","inornata","paulula?","√",NA,"Durango","Cuencamé","Carr. Libre Cuencame-Torreón; 22.2 Km. N de Cuencame","25.066055555555558","-103.7756111111111","1389",NA,NA,"A7","C28.8",2,"A5","High-","Intermediate","83","250","41.6",12.0192307692308,NA,"R*","Extraction",NA
"165",83,NA,NA,"ANMO","1507","inornata","inornata/octolineata",NA,NA,"Coahuila","Castaños","Carr. Dolores-Estanque de Norias","26.371444444444446","-101.44194444444445","1137","?",NA,NA,NA,3,"A9",NA,NA,NA,NA,NA,NA,NA,NA,"Tissue",NA
"166",84,"√",NA,"ANMO","1846","angusticeps","angusticeps",NA,NA,"Campeche","Hecelchakán","Pomuch","20.138527777777778","-90.185250000000011","2","?",NA,NA,NA,1,"A3","High","Intermediate","UH1","25-30","116",4.31034482758621,NA,"R*","Extraction",NA
"167",84,"√",NA,"ANMO","1506","inornata","inornata/octolineata",NA,NA,"Coahuila","Castaños","Carr. Dolores-Estanque de Norias","26.371444444444446","-101.44194444444445","1137",NA,NA,"A7","C28.7",1,"H9","High-","Low","84","250","47.2",10.593220338983,NA,"R","Extraction",NA
"168",85,"√",NA,"ANMO","4202","inornata","heptagramma",NA,NA,"Chihuahua","López","Carr. Parral-Cd. Jimenez","27.112729999999999","-105.02663","1381",NA,NA,"A7","C30.4",1,"F7","High","Intermediate","85","250","63.4",7.88643533123028,NA,"R*","Extraction",NA
"169",85,NA,NA,"RWM","1229","labialis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"B1",NA,NA,NA,NA,NA,NA,NA,"superfluous bkp","Tissue",NA
"170",86,"√",NA,"ANMO","4260","gularis?",NA,NA,"gularis?","Jalisco","Villa Guerrero","aprox. 23.6 km (en línea recta) W Villa Guerrero","22.010472","-103.818639","1880","Macho","Subadulto",NA,NA,1,"G2","High","Low","UH2","20","61.2",8.16993464052288,NA,"R","Extraction",NA
"171",86,"√",NA,"RWM","1229","labialis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A7","C31.6",1,"G6","Intermediate","Intermediate","86","250","57.8",8.65051903114187,NA,"R*","Extraction",NA
"172",87,"√",NA,"ANMO","4259","scalaris cf.",NA,NA,NA,"Jalisco","Villa Guerrero","aprox. 23.6 km (en línea recta) W Villa Guerrero","22.010472","-103.818639","1880","Macho","Adulto","A6","B92.1",2,"D1","Low","No","87","95","33.200000000000003",15.0602409638554,NA,"R","Extraction",NA
"173",87,NA,NA,"LNG","363","mexicana",NA,NA,NA,"Oaxaca",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"B5",NA,NA,NA,NA,NA,NA,NA,"superfluous bkp","Tissue",NA
"174",88,"√",NA,"ANMO","1845","angusticeps","angusticeps",NA,NA,"Campeche","Hecelchakán","Pomuch","20.138527777777778","-90.185250000000011","2","?",NA,"A7","C28.9",1,"H8","High","No","88",">100","48.6",10.2880658436214,NA,"R","Extraction",NA
"175",88,NA,NA,"AQM","1","burti","stictogramma",NA,NA,"Sonora",NA,"El Colorado y Las Cadenas",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","High","UH1","98",NA,NA,NA,"Bad","Extraction",NA
"176",89,"√",NA,"LNG","363","mexicana",NA,NA,NA,"Oaxaca",NA,NA,NA,NA,NA,NA,NA,"A7","C31.8",1,"E4","High","High","89","40","76.400000000000006",6.54450261780105,NA,"R*","Extraction",NA
"177",89,NA,NA,"AQM","2","burti","stictogramma",NA,NA,"Sonora",NA,"El Colorado y Las Cadenas",NA,NA,NA,NA,NA,NA,NA,3,"B8",NA,NA,NA,NA,NA,NA,NA,NA,"Tissue",NA
"178",90,NA,NA,"AQM","1","burti","stictogramma",NA,NA,"Sonora",NA,"El Colorado y Las Cadenas",NA,NA,NA,NA,NA,"A7","C31.7",NA,NA,"No","Intermediate","90","250","17",29.4117647058824,NA,"Bad","Extraction",NA
"179",90,NA,NA,"ANMO","2609","gularis","""rauni""",NA,NA,"Guanajuato","Acámbaro","Cerro 1 km E Irámuco","19.960238888888888","-100.92979722222222","1884","Macho","Adulto",NA,NA,3,"G3",NA,NA,NA,NA,NA,NA,NA,NA,"Tissue",NA
"180",91,"√",NA,"ISZ","574","gularis","""rauni""",NA,NA,"Jalisco","La Barca","Cerro ""La Mesa"", Canales","20.416833333333333","-102.61924999999999","1759","Macho","Adulto","Norma",NA,1,"B6","High","Low","91",NA,"102",4.90196078431373,NA,"R","Extraction",NA
"181",92,"√",NA,"ANMO","1630","gularis","""rauni""",NA,NA,"Aguascalientes",NA,"Camino a Microondas Los Gallos; 6 km. E de aeropuerto de Aguascalientes","21.69863888888889","-102.26347222222222","1908","Hembra","Adulto","Norma",NA,2,"F3","Intermediate","No","92",NA,"23.4",21.3675213675214,NA,"R","Extraction",NA
"182",93,"√",NA,"ANMO","1325","gularis","""rauni""",NA,NA,"Guanajuato","San Miguel de Allende","Galvanes (aprox 15 km por carr de Dolores Hidalgo hacia San Miguel de Allende)","21.073777777777778","-100.79869444444444","1925",NA,NA,"Norma",NA,1,"H3","Intermediate","Low","93",NA,"51.2",9.765625,NA,"R","Extraction",NA
"183",94,"√",NA,"UOGV","2140","gularis","""rauni""",NA,NA,"Jalisco","Ixtlahuacán del Río","Ixtlahuacán del Río","20.943472222222223","-103.46644444444445","1643",NA,"Jóven",NA,NA,1,"F6","High","Intermediate","UH1","98","64.2",7.78816199376947,NA,"R*","Extraction",NA
"184",95,"√",NA,"ANMO","2609","gularis","""rauni""",NA,NA,"Guanajuato","Acámbaro","Cerro 1 km E Irámuco","19.960238888888888","-100.92979722222222","1884","Macho","Adulto","María Elena",NA,2,"A1","High","Low","UH2","99","42.4",11.7924528301887,NA,"R*","Extraction",NA
"185",96,"√",NA,"ANMO","1498","gularis","gularis",NA,NA,"Coahuila",NA,"Carr. Melchor Muzquiz-Monclova","27.89","-101.38927777777778","415",NA,NA,"Norma",NA,1,"A1","High","Low","96",NA,"118",4.23728813559322,NA,"R","Extraction",NA
"186",97,"√",NA,"ANMO","1512","gularis","gularis",NA,NA,"Coahuila",NA,"Carr. Dolores-Estanque de Norias","26.371444444444446","-101.44194444444445","1137",NA,NA,"Norma",NA,2,"D6","Low","Low","97","30","30.2",16.5562913907285,NA,"R","Extraction",NA
"187",98,"√",NA,"UOGV","2030","gularis","septemvittata",NA,NA,"Coahuila","Ocampo","Rancho La Casita, Sierra Madera","27.112611111111111","-102.39436111111112","1291",NA,NA,"Norma",NA,2,"A7","High","Low","98","100","41.2",12.1359223300971,NA,"R","Extraction",NA
"188",99,"√",NA,"JAC","23305","scalaris",NA,NA,NA,"Jalisco","Huejúcar","Carretera Tepetongo-Colotlán","22.34254","-103.21044000000001","1859","Macho","Adulto",NA,NA,1,"I6","High","Low","UH1","160","43.4",11.5207373271889,NA,"R*","Extraction",NA
"189",100,NA,NA,"ANMO","4263","scalaris",NA,NA,NA,"Jalisco","Huejuquilla el Alto","aprox. 6.0 km (en línea recta) W Huejuquilla el Alto","22.609698000000002","-103.954398","1700","Macho","Subadulto",NA,NA,3,"C1",NA,NA,NA,NA,NA,NA,NA,NA,"Tissue",NA
"190",101,"√",NA,"ANMO","1358","gularis","semiannulata",NA,NA,"Guanajuato","San Luis de la Paz","Carr. San Jose Iturbide-Mineral de Pozos; 5.8 km. S de Mineral de Pozos","21.163388888888889","-100.49716666666667","2141","?","?","Norma",NA,1,"A4","High","Low","101",NA,"116",4.31034482758621,NA,"R","Extraction",NA
"191",102,"√",NA,"ANMO","1417","gularis","semiannulata",NA,NA,"Durango",NA,"Carr. Libre Cuencame-Torreón; 22.2 Km. N de Cuencame","25.066055555555558","-103.7756111111111","1389","?","?","Norma",NA,1,"B5","High","Intermediate","102",NA,"104",4.80769230769231,NA,"R*","Extraction",NA
"192",103,"√",NA,"CAYA","5","gularis","semifasciata",NA,NA,"Coahuila","San Pedro de las Colonias","San Isidro, Carr. San pedro-Monclova","25.79701","-102.98189000000001","1101","?","?","Norma",NA,1,"A5","Low","High","103",NA,"116",4.31034482758621,NA,"R*","Extraction",NA
"193",104,NA,NA,"ANMO","1898","gularis cf.",NA,NA,NA,"Distrito Federal","Delegación Tláhuac","Sierra de Santa Catarina","?","?","?","?","?",NA,NA,3,"D4",NA,NA,NA,NA,NA,NA,NA,NA,"Tissue",NA
"194",105,"√",NA,"ANMO","1897","gularis cf.",NA,NA,NA,"Distrito Federal","Delegación Tláhuac","Sierra de Santa Catarina","?","?","?","?","?",NA,NA,1,"F8","High","Intermediate","UH1","125","62",8.06451612903226,NA,"R*","Extraction",NA
"195",106,"√",NA,"UOGV","2032","gularis","septemvittata",NA,NA,"Coahuila","Cuatro Ciénegas de Carranza","Antiguos Mineros del Norte","26.782694444444445","-102.00561111111111","725","?","?","Norma",NA,1,"C5","High","High","106",NA,"98.6",5.0709939148073,NA,"R*","Extraction",NA
"196",107,"√",NA,"ANMO","1454","gularis","undescribed",NA,NA,"Coahuila","Cuatro Ciénegas de Carranza","Carr. Cuatro Cienegas-Nueva Atalaya; frente a Poza la Becerra, 18 km. S de Cuatro Cienegas","26.872666666666667","-102.13636111111111","765","?","?","Norma",NA,1,"C2","High","Low","107",NA,"100",5,NA,"R*","Extraction",NA
"197",108,"√",NA,"CDR","252","gularis",NA,NA,NA,NA,NA,NA,NA,NA,"?","?","?","Norma",NA,2,"C5","Intermediate","Low","108",NA,"34.6",14.4508670520231,NA,"R","Extraction",NA
"198",109,"√",NA,"CPA","36","gularis",NA,NA,NA,"San Luis Potosí",NA,"San Benito","?","?","?","?","?","Norma",NA,1,"F9","Intermediate","Low","109",NA,"61.8",8.09061488673139,NA,"R","Extraction",NA
"199",110,"√",NA,"CPA","57","gularis",NA,NA,NA,NA,NA,NA,NA,NA,"?","?","?","Norma",NA,1,"C6","High","High","110",NA,"94",5.31914893617021,NA,"R*","Extraction",NA
"200",111,"√",NA,"CPA","28","gularis",NA,NA,NA,"Nuevo León",NA,"San Roberto","?","?","?","?","?","Norma",NA,1,"A2","High","Intermediate","111",NA,"118",4.23728813559322,NA,"R*","Extraction",NA
"201",112,"√",NA,"APG","266","gularis","septemvittata",NA,NA,NA,NA,"Carretera Chihuahua-Ojinaga","?","?","?","?","?","Norma",NA,1,"C9","High","Low","112",NA,"90.2",5.54323725055432,NA,"R","Extraction",NA
"202",113,"√",NA,"CPA","25","gularis",NA,NA,NA,"Nuevo León",NA,"Monterrey","?","?","?","?","?","Norma",NA,1,"B7","High","Low","113",NA,"102",4.90196078431373,NA,"R","Extraction",NA
"203",114,"√",NA,"SFDG","374","gularis",NA,NA,NA,"San Luis Potosí",NA,"Xilitla","?","?","?","?","?","Norma",NA,2,"C4","High","High","114","200","35",14.2857142857143,NA,"R*","Extraction",NA
"204",115,"√",NA,"OIGS","202","gularis",NA,NA,NA,"Queretaro",NA,"Jalpan","?","?","?","?","?","Norma",NA,2,"B5","Intermediate","Intermediate","115",NA,"38.4",13.0208333333333,NA,"R*","Extraction",NA
"205",116,"√",NA,"JCHZ","11","gularis",NA,NA,NA,"Hidalgo","Zimapán","La Tuna","?","?","?","?","?","Norma",NA,1,"B8","High","High","116",NA,"102",4.90196078431373,NA,"R*","Extraction",NA
"206",117,"√",NA,"NLMM","32","rodecki",NA,NA,NA,"Quintana Roo",NA,"Puerto Juárez","?","?","?","?","?","Norma",NA,1,"C7","High","High","117",NA,"93.4",5.35331905781585,NA,"R*","Extraction",NA
"207",118,"√",NA,"NLMM","46","maslini",NA,NA,NA,NA,NA,"Majahaul","?","?","?","?","?","Norma",NA,1,"B3","High","Intermediate","118",NA,"106",4.71698113207547,NA,"R","Extraction",NA
"208",119,NA,NA,"NLMM","49","maslini",NA,NA,NA,"Campeche",NA,"Calakmul","?","?","?","?","?","Norma",NA,NA,NA,"Low","Low","119","20","4.3600000000000003",114.678899082569,NA,"Bad","Extraction",NA
