"","identificadorUnico","siglasColecciónMZFC","númeroCatálogoMZFC","etiquetaCampo","nombreEtiquetaCampo","catálogoCampo","colectorPrimario","siglasColectorPrimario","colectoresSecundarios","cantidadMuestras","tipoMuestra","sexo","etapaDesarrollo","actividadReproductiva","actividad","tipoPreparación","localización","otrosNúmerosCatálogo","obervacionesOrganismo","fotografías","autorFotografías","taxonesAsociados","tipoTejido","tejidoCajaCelda","TipoPreservaciónTejido","otroMaterialAsociado","horaColecta","añoColecta","mesColecta","díaColecta","hábitat","sitioColecta","observacionesColecta","país","estado","municipio","localidad","altitud","latitudGrados","latitudMinutos","latitudSegundos","longitudGrados","longitudMinutos","longitudSegundos","latitudDecimal","longitudDecimal","determinador","añoDeterminación","comentariosIdentificación","tipoNomenclatural","nombreCientífico","clase","familia","género","epítetoEspecífico","donador","correoElectrónicoContacto","fechaCatalogación","Subespecie","Subserie","Voucher (otro que MZFC)","Secuencia DNAmt","RADseq","EjemplarNoCatálogo","StatusID","Notas1","Notas2","TejCol_BUC","TejCaja_BUC","TejCelda_BUC"
"55",NA,NA,NA,"ANMO:5210","Adrián Nieto Montes de Oca",NA,"Adrián Nieto Montes de Oca","ANMO","MMS, UOGV, AGV, Anthony Barley, Robert Thomson",NA,"Organismo completo",NA,NA,NA,"Activa","Alcohol 85%","Universidad del Valle de Guatemala (UVG)",NA,NA,NA,NA,NA,"Hígado",NA,"Alcohol absoluto",NA,NA,2023,"Junio",8,"Bosque tropical perenifolio","Sobre rama",NA,"Guatemala","Petén","Flores","Al norte de la ciudad de Flores, cruzando el lago en su sección más estrecha",160,NA,NA,NA,NA,NA,NA,16.939095,-89.89166,NA,NA,NA,NA,"Anolis tropidonotus","Reptilia","Dactyloidae","Anolis","tropidonotus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",NA,NA,NA,"ANMO:5211","Adrián Nieto Montes de Oca",NA,"Adrián Nieto Montes de Oca","ANMO","MMS, UOGV, AGV, Anthony Barley, Robert Thomson",NA,"Organismo completo",NA,NA,NA,"Activa","Alcohol 85%",NA,NA,NA,NA,NA,NA,"Hígado",NA,"Alcohol absoluto",NA,NA,2023,"Junio",8,"Bosque tropical perenifolio","Sobre hojarasca",NA,"Guatemala","Petén","Flores","Al norte de la ciudad de Flores, cruzando el lago en su sección más estrecha",160,NA,NA,NA,NA,NA,NA,16.939095,-89.89166,NA,NA,NA,NA,"Anolis tropidonotus","Reptilia","Dactyloidae","Anolis","tropidonotus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",NA,NA,NA,"ANMO:5212","Adrián Nieto Montes de Oca",NA,"Adrián Nieto Montes de Oca","ANMO","MMS, UOGV, AGV, Anthony Barley, Robert Thomson",NA,"Organismo completo",NA,NA,NA,"Activa","Alcohol 85%","Universidad del Valle de Guatemala (UVG)",NA,NA,NA,NA,NA,"Hígado",NA,"Alcohol absoluto",NA,NA,2023,"Junio",8,"Bosque tropical perenifolio","Sobre hojarasca",NA,"Guatemala","Petén","Flores","Al norte de la ciudad de Flores, cruzando el lago en su sección más estrecha",160,NA,NA,NA,NA,NA,NA,16.939095,-89.89166,NA,NA,NA,NA,"Anolis tropidonotus","Reptilia","Dactyloidae","Anolis","tropidonotus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",NA,NA,NA,"ANMO:5213","Adrián Nieto Montes de Oca",NA,"Adrián Nieto Montes de Oca","ANMO","MMS, UOGV, AGV, Anthony Barley, Robert Thomson",NA,"Organismo completo",NA,NA,NA,"Activa","Alcohol 85%",NA,NA,NA,NA,NA,NA,"Hígado",NA,"Alcohol absoluto",NA,NA,2023,"Junio",8,"Bosque tropical perenifolio","Sobre hojarasca",NA,"Guatemala","Petén","Flores","Al norte de la ciudad de Flores, cruzando el lago en su sección más estrecha",160,NA,NA,NA,NA,NA,NA,16.939095,-89.89166,NA,NA,NA,NA,"Anolis rodriguezii","Reptilia","Dactyloidae","Anolis","rodriguezii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",NA,NA,NA,"ANMO:5214","Adrián Nieto Montes de Oca",NA,"Adrián Nieto Montes de Oca","ANMO","MMS, UOGV, AGV, Anthony Barley, Robert Thomson",NA,"Organismo completo",NA,NA,NA,"Activa","Alcohol 85%",NA,NA,NA,NA,NA,NA,"Hígado",NA,"Alcohol absoluto",NA,NA,2023,"Junio",8,"Bosque tropical perenifolio","Entre hojarasca",NA,"Guatemala","Petén","Flores","Al norte de la ciudad de Flores, cruzando el lago en su sección más estrecha",160,NA,NA,NA,NA,NA,NA,16.939095,-89.89166,NA,NA,NA,NA,"Mesoscincus schwartzei","Reptilia","Scincidae","Mesoscincus","schwartzei",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",NA,NA,NA,"ANMO:5215","Adrián Nieto Montes de Oca",NA,"Adrián Nieto Montes de Oca","ANMO","MMS, UOGV, AGV, Anthony Barley, Robert Thomson",NA,"Organismo completo",NA,NA,NA,"Activa","Alcohol 85%",NA,NA,NA,NA,NA,NA,"Hígado",NA,"Alcohol absoluto",NA,NA,2023,"Junio",9,"Bosque tropical perenifolio","Sobre hojarasca",NA,"Guatemala","Petén","Flores","Al norte de la ciudad de Flores, cruzando el lago en su sección más estrecha",160,NA,NA,NA,NA,NA,NA,16.939095,-89.89166,NA,NA,NA,NA,"Holcosus hartwegi","Reptilia","Teiidae","Holcosus","hartwegi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",NA,NA,NA,"ANMO:5216","Adrián Nieto Montes de Oca",NA,"Adrián Nieto Montes de Oca","ANMO","MMS, UOGV, AGV, Anthony Barley, Robert Thomson",NA,"Organismo completo",NA,NA,NA,"Activa","Alcohol 85%","Universidad del Valle de Guatemala (UVG)",NA,NA,NA,NA,NA,"Hígado",NA,"Alcohol absoluto",NA,NA,2023,"Junio",9,"Bosque tropical perenifolio","Sobre hojarasca",NA,"Guatemala","Petén","Flores","Al norte de la ciudad de Flores, cruzando el lago en su sección más estrecha",160,NA,NA,NA,NA,NA,NA,16.939095,-89.89166,NA,NA,NA,NA,"Holcosus hartwegi","Reptilia","Teiidae","Holcosus","hartwegi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",NA,NA,NA,"ANMO:5217","Adrián Nieto Montes de Oca",NA,"Adrián Nieto Montes de Oca","ANMO","MMS, UOGV, AGV, Anthony Barley, Robert Thomson",NA,"Organismo completo","Hembra",NA,NA,"Activa","Alcohol 85%",NA,NA,NA,NA,NA,NA,"Hígado",NA,"Alcohol absoluto",NA,NA,2023,"Junio",9,"Bosque tropical perenifolio","Sobre hojarasca",NA,"Guatemala","Petén","Flores","Al norte de la ciudad de Flores, cruzando el lago en su sección más estrecha",160,NA,NA,NA,NA,NA,NA,16.939095,-89.89166,NA,NA,NA,NA,"Anolis lemurinus","Reptilia","Dactyloidae","Anolis","lemurinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",NA,NA,NA,"ANMO:5218","Adrián Nieto Montes de Oca",NA,"Adrián Nieto Montes de Oca","ANMO","MMS, UOGV, AGV, Anthony Barley, Robert Thomson",NA,"Organismo completo","Hembra",NA,NA,"Activa","Alcohol 85%","Universidad del Valle de Guatemala (UVG)",NA,NA,NA,NA,NA,"Hígado",NA,"Alcohol absoluto",NA,NA,2023,"Junio",9,"Bosque tropical perenifolio","Sobre hojarasca",NA,"Guatemala","Petén","Flores","Al norte de la ciudad de Flores, cruzando el lago en su sección más estrecha",160,NA,NA,NA,NA,NA,NA,16.939095,-89.89166,NA,NA,NA,NA,"Anolis rodriguezii","Reptilia","Dactyloidae","Anolis","rodriguezii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",NA,NA,NA,"ANMO:5219","Adrián Nieto Montes de Oca",NA,"Adrián Nieto Montes de Oca","ANMO","MMS, UOGV, AGV, Anthony Barley, Robert Thomson",NA,"Organismo completo","Macho",NA,NA,"Activa","Alcohol 85%",NA,NA,NA,NA,NA,NA,"Hígado",NA,"Alcohol absoluto",NA,NA,2023,"Junio",9,"Bosque tropical perenifolio","Sobre hojarasca",NA,"Guatemala","Petén","Flores","Ixpop",154,NA,NA,NA,NA,NA,NA,16.9474062,-89.7015137,NA,NA,NA,NA,"Anolis lemurinus","Reptilia","Dactyloidae","Anolis","lemurinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
